# 2026-06-01 06:12:15
# 6c3db9b5c2426ac9f1e90b6b961fce1d
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-1.571262682579252612e+00;1.021966948757590998e+01;-1.690686044744080796e+00;-1.179093084116826923e-01;6.099285202115050986e+00;5.000000000000001776e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.590365839613460008e-01;-1.635238228796144000e+00;9.765112874048890390e+00;-1.706163509568293435e+00;4.979213029891244036e-02;6.464645838431762215e+00;5.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.186207480523658209e-01;-1.688865890699034145e+00;9.308668268689082481e+00;-1.678805306842281020e+00;4.647001118862314518e-03;6.810836032181607713e+00;4.999999999999990230e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.379685263427659958e+00;-1.741686630013946191e+00;8.850639386590495761e+00;-1.698803955011469524e+00;-2.072429485697364904e-02;7.141297683965865950e+00;4.999999999999999112e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.841683194034145599e+00;-1.799001706367029385e+00;8.392210471809463002e+00;-1.670770453433016778e+00;9.229201711986152745e-02;7.457755152663641418e+00;5.000000000000002665e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.308370444856219006e+00;-1.837004494210821903e+00;7.927073096192361668e+00;-1.656296667345078077e+00;-2.465824194107966300e-02;7.764340566030178081e+00;5.000000000000013323e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.776676913156096660e+00;-1.880517058271721664e+00;7.460792488596087679e+00;-1.657183427304256274e+00;3.155283542238602329e-02;8.060275994548860012e+00;-3.824877492476761009e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.245915560529078814e+00;-1.917201122255314027e+00;6.992989979370160647e+00;-1.650233821613328988e+00;-2.344757444485294495e-02;7.834442445153726453e+00;-7.677573540750374015e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.715237436232273982e+00;-1.959037764107512292e+00;6.525536539536741287e+00;-1.670584344208502214e+00;-4.756130085496904775e-02;7.360161818631294928e+00;-6.061456608143033442e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.183036503488572144e+00;-2.011111219137708961e+00;6.060644807402171708e+00;-1.694658433612309612e+00;-4.770201039227451451e-02;6.964258359755922889e+00;-4.326679365097256813e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.642720558776755269e+00;-2.072373864684485589e+00;5.605061314563812402e+00;-1.711865254721388396e+00;-1.410088698498327547e-02;6.672561986858648986e+00;-2.888881808686008412e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.090039253378874307e+00;-2.134822314481671146e+00;5.162123163510561774e+00;-1.704480823710611714e+00;5.231439767849944966e-02;6.476000446991072579e+00;-4.420270341658153690e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.522847486503042802e+00;-2.185363270051949858e+00;4.732276006406891611e+00;-1.665955046458191591e+00;1.247576121843580604e-01;6.173517878521137092e+00;-5.154180993983710657e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.942033653706372043e+00;-2.212126380810054638e+00;4.313945062443662160e+00;-1.598416097694286497e+00;1.956790304376192224e-01;5.813019890258381395e+00;-4.469275300417964836e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.350053148444934514e+00;-2.205163189581872629e+00;3.905984988349846088e+00;-1.504469008913744243e+00;2.609790851097107400e-01;5.490364044823568435e+00;-2.861822243910331132e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.748373203983281776e+00;-2.156556492360500066e+00;3.510641775901090611e+00;-1.388824272439203034e+00;3.126522560305093346e-01;5.278660337095097965e+00;-2.204712658551993609e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.137336004412161650e+00;-2.062028149453674075e+00;3.133340235346633751e+00;-1.259750009674028393e+00;3.405261941502655820e-01;5.113624207428442148e+00;-7.161994238309358218e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.517698063549645759e+00;-1.922157762309258500e+00;2.779629094963158575e+00;-1.128849483588427738e+00;3.365321298739992750e-01;5.060071378903200134e+00;2.869873419482978777e-02;1.000000000000000000e+00;1.000000000000000000e+00
7.889783929708047872e+00;-1.742705898982551238e+00;2.453676766326866598e+00;-1.008295868359935676e+00;3.080297400679898878e-01;5.062181263678375842e+00;2.957274464132698122e-01;1.000000000000000000e+00;1.000000000000000000e+00
