# 2026-06-01 09:27:19
# cff18a3e655453bcc43aa86646baacb7
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-1.580563914363706246e+00;1.028488852107705398e+01;-1.741514055461980126e+00;-1.131295219253485584e-01;6.050110528110174357e+00;1.742230163184488756e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.415287875204764179e-01;-1.666948593156510672e+00;9.851892727241633452e+00;-1.790388423788283223e+00;-8.522184222724316083e-02;6.175947453258849862e+00;3.785463013331586524e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.884358440107493760e-01;-1.770911519687589530e+00;9.417246173076190274e+00;-1.816651683412583873e+00;-3.109295209812821398e-02;6.444053631907179280e+00;4.999999999999996447e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.335657102345140013e+00;-1.880983412520859988e+00;8.983782181129573274e+00;-1.819024057558402907e+00;7.741385570925234973e-03;6.782185473299887413e+00;4.352028661351980965e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.782314685254385633e+00;-1.989418050572640873e+00;8.550486755766105063e+00;-1.812205600243419701e+00;2.067715105763169928e-02;7.062986124827266288e+00;-1.520762984904499016e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.231755569405693862e+00;-2.094484520591975762e+00;8.113499175594327539e+00;-1.800479150290185570e+00;3.161105261170710917e-02;6.965542827264962433e+00;-3.697203784255097769e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.683427100675343624e+00;-2.193807191763943010e+00;7.672883493677835176e+00;-1.783688859847019303e+00;4.252744316721852186e-02;6.721528359618925030e+00;-2.689868045219905746e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.133633135838525874e+00;-2.284367391489644739e+00;7.231879724620252858e+00;-1.762397675157259425e+00;5.086126293184212166e-02;6.538880166638649349e+00;-1.898657481976797623e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.579293491680373140e+00;-2.364044894978980071e+00;6.793399795539355246e+00;-1.738204973014222610e+00;5.747525803507890635e-02;6.408169870999142148e+00;-2.380320624908164540e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.016088059216127881e+00;-2.431214599159998269e+00;6.361800762791387065e+00;-1.711736422690346426e+00;6.340246992609487042e-02;6.243814447889588060e+00;-2.121968360941668852e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.438655221735327672e+00;-2.484798378741301939e+00;5.942644723343891933e+00;-1.683793513090753757e+00;6.847713022539173022e-02;6.098513799377474953e+00;-1.970602756526089072e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.844864190939990323e+00;-2.524854683144469814e+00;5.538415556731838052e+00;-1.655061272751664925e+00;8.318676414810589892e-02;5.965812394998422974e+00;-2.737430034716822558e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.238766121800498610e+00;-2.550632788100623216e+00;5.145358028575327758e+00;-1.611602488042455539e+00;1.568685704468414932e-01;5.782245202322002342e+00;-2.826835306433888917e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.625141268368482272e+00;-2.552286361298590656e+00;4.758986420429607733e+00;-1.532093408418948588e+00;2.575557933851327364e-01;5.590162946469622085e+00;-2.371118783509194028e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.008073539913748817e+00;-2.516027055145536817e+00;4.377774684896562185e+00;-1.412800445699581076e+00;3.623773563836886202e-01;5.425307914241944474e+00;-1.677482882733579261e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.387479186692147870e+00;-2.428398258629875350e+00;4.008627236268575089e+00;-1.262156293394322670e+00;3.661259938800019986e-01;5.306700764898075739e+00;-1.387345746975957361e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.761795891477654585e+00;-2.292636205676096939e+00;3.659798251722772289e+00;-1.144044568018973251e+00;2.622339000875906767e-01;5.207922775095399359e+00;-1.261254098892390818e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.130893590156805573e+00;-2.125915094292198049e+00;3.330500237472514335e+00;-1.066227331289706592e+00;1.651437998385362205e-01;5.117754161803369506e+00;-1.175371803585805175e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.496662525565461088e+00;-1.941209484459347712e+00;3.014793487772327918e+00;-1.019388112098353449e+00;1.311517736326699435e-01;5.033048646103258861e+00;-1.023959211537706970e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.863209874546238431e+00;-1.741135378365199493e+00;2.707665971721644027e+00;-9.644206993288266805e-01;1.753048442997529044e-01;4.957914844481968508e+00;-6.851753728626376327e-01;1.000000000000000000e+00;1.000000000000000000e+00
8.236341999628480792e+00;-1.517635557745653951e+00;2.408876057314512487e+00;-8.894668383081654195e-01;2.270315939724485144e-01;4.906077630783491017e+00;-3.675639905026438226e-01;1.000000000000000000e+00;1.000000000000000000e+00
8.616746149854526138e+00;-1.264581267985952051e+00;2.124849924813624558e+00;-7.936366845740663312e-01;2.558965549731425093e-01;4.877494437142132711e+00;-1.122533988598681774e-02;1.000000000000000000e+00;1.000000000000000000e+00
9.002124044753644583e+00;-9.812898534793634830e-01;1.863579765124975474e+00;-6.987164664755192156e-01;2.279894458358603659e-01;4.876607426135803891e+00;7.680610328403505438e-01;1.000000000000000000e+00;1.000000000000000000e+00
