# 2026-06-01 17:38:03
# 012775d24e0c1808308405b1f862b71e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.665017071511666114e+00;1.025858056368598348e+01;-1.741514055461980126e+00;-8.939647609605134992e-02;6.357415916216352159e+00;2.005232029049481834e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
4.235791284644325194e-01;-1.729425321094705925e+00;9.839926941396223370e+00;-1.790388423788283223e+00;-1.321069070964850101e-01;6.489644520482496404e+00;4.051188209653457939e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
8.846720247288373251e-01;-1.826037695469265643e+00;9.389069194314943800e+00;-1.816651683412583873e+00;3.143048450432509716e-02;6.771368710388700585e+00;6.536353114066022485e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.295195676554181885e+00;-1.906548007448066073e+00;8.986517634420943423e+00;-1.819024057558402907e+00;2.242630065907033968e-02;7.156681445477633297e+00;4.353092817428523276e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.739031649846094485e+00;-1.989418050572640873e+00;8.550486755766105063e+00;-1.812205600243419701e+00;-1.077711966358129297e-01;7.421738858714356013e+00;-1.679175795832045903e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
2.188472533997402714e+00;-2.094484520591975762e+00;8.113499175594327539e+00;-1.800479150290185570e+00;3.161105261170710917e-02;7.319346089528914412e+00;-4.082329178448344642e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
2.640144065267052476e+00;-2.193807191763943010e+00;7.672883493677835176e+00;-1.783688859847019303e+00;4.252744316721852186e-02;7.062937309359976545e+00;-2.970062633263638840e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
3.090350100430234725e+00;-2.284367391489644739e+00;7.231879724620252858e+00;-1.762397675157259425e+00;5.086126293184212166e-02;6.871011802590158091e+00;-2.096434303016058820e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
3.536010456272081992e+00;-2.364044894978980071e+00;6.793399795539355246e+00;-1.738204973014222610e+00;5.747525803507890635e-02;6.733662293014914368e+00;-2.628270690002767029e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
3.972805023807836733e+00;-2.431214599159998269e+00;6.361800762791387065e+00;-1.711736422690346426e+00;6.340246992609487042e-02;6.560958707198023099e+00;-2.343006731873076287e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
4.395372186327036523e+00;-2.484798378741301939e+00;5.942644723343891933e+00;-1.683793513090753757e+00;6.847713022539173022e-02;6.408277751834385860e+00;-2.175873876997569401e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
4.801581155531699174e+00;-2.524854683144469814e+00;5.538415556731838052e+00;-1.655061272751664925e+00;8.318676414810589892e-02;6.268835998434358459e+00;-3.022578996666498874e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
5.195483086392207461e+00;-2.550632788100623216e+00;5.145358028575327758e+00;-1.611602488042455539e+00;1.568685704468414932e-01;6.075944812894189084e+00;-3.121297317520747239e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
5.581858232960191124e+00;-2.552286361298590656e+00;4.758986420429607733e+00;-1.532093408418948588e+00;2.575557933851327364e-01;5.874106055584724650e+00;-2.618110323458088029e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
5.964790504505457669e+00;-2.516027055145536817e+00;4.377774684896562185e+00;-1.412800445699581076e+00;3.623773563836886202e-01;5.700877483828371339e+00;-1.852220683018322767e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
6.344196151283856722e+00;-2.428398258629875350e+00;4.008627236268575089e+00;-1.262156293394322670e+00;3.661259938800019986e-01;5.576245879907691716e+00;-1.531860928952614387e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
6.718512856069363437e+00;-2.292636205676096939e+00;3.659798251722772289e+00;-1.144044568018973251e+00;2.622339000875906767e-01;5.472450624990333523e+00;-1.392634734193685553e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
7.087610554748514424e+00;-2.125915094292198049e+00;3.330500237472514335e+00;-1.066227331289706592e+00;1.651437998385362205e-01;5.377702045667276387e+00;-1.297806366459333338e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
7.453379490157169940e+00;-1.941209484459347712e+00;3.014793487772327918e+00;-1.019388112098353449e+00;1.311517736326699435e-01;5.288694052970090098e+00;-1.130621629406199480e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
7.819926839137947283e+00;-1.741135378365199493e+00;2.707665971721644027e+00;-9.644206993288266805e-01;1.753048442997529044e-01;5.209743953785335613e+00;-7.565478075358283983e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
8.193058964220188756e+00;-1.517635557745653951e+00;2.408876057314512487e+00;-8.894668383081654195e-01;2.270315939724485144e-01;5.155273754292641897e+00;-4.058519061800238137e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
8.573463114446234101e+00;-1.264581267985952051e+00;2.124849924813624558e+00;-7.936366845740663312e-01;2.558965549731425093e-01;5.125238724461767426e+00;-1.239464612407837132e-02;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
8.958841009345352546e+00;-9.812898534793634830e-01;1.863579765124975474e+00;-6.987164664755192156e-01;2.279894458358603659e-01;5.124306659193988089e+00;8.480673904278729358e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
9.344485612911727301e+00;-6.759399862502555312e-01;1.628031004051959885e+00;-6.176231321823401066e-01;1.936706697081386763e-01;5.187737846365996219e+00;1.957131293869542432e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
9.728655949486469723e+00;-3.551228316070784152e-01;1.416694303995848392e+00;-5.493182533530456269e-01;1.652990773402523983e-01;5.330700473520506577e+00;3.466368290221315984e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.011326300775093401e+01;-2.115269291706622229e-02;1.225941752950732822e+00;-4.886063904771827948e-01;1.596717557996599479e-01;5.575190307094300302e+00;4.272575112984072554e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.050129262373804728e+01;3.270138373884831084e-01;1.054631945706369089e+00;-4.254886656790630162e-01;1.659590129646358880e-01;5.865025006004053409e+00;3.485063854836772279e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.089532493933545965e+01;6.911051306318880538e-01;9.039700861685180389e-01;-3.587483478226602407e-01;1.729094200472477416e-01;6.094667659725605979e+00;2.197352771545507011e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.129588506716980056e+01;1.070870036283319227e+00;7.765847163404931974e-01;-2.881706923718754809e-01;1.710083835062677915e-01;6.237412740603271999e+00;1.435236126040507099e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.170223213664206696e+01;1.464115008575226584e+00;6.742307587431621840e-01;-2.231345956980561318e-01;1.447918356842035625e-01;6.330223193875125887e+00;2.033174555075680789e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
