# 2026-06-04 03:35:58
# f08671b89fb5f982df16d61358b28e8b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;5.864720274293171443e+00;3.060779970389222271e+01;-2.911805044455658908e+00;1.837554885079887568e-01;3.785900352825371851e+00;5.500586571868906205e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.595530203787935530e-01;5.517645337580828979e+00;3.051389889042590298e+01;-2.841853022794629258e+00;2.036528467698302536e-01;3.837784775710771257e+00;7.573534477737928761e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.183273550453835865e-01;5.179097390719949345e+00;3.039513731881396552e+01;-2.765448097769816371e+00;2.221030396219205449e-01;3.907944465232631170e+00;9.790725756886229370e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.072337806224290535e+00;4.855359864477826193e+00;3.025189830999819662e+01;-2.683561924209466820e+00;2.398538626137133034e-01;3.995651860692470692e+00;1.080371850367467967e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.425694909437777103e+00;4.545500530856890542e+00;3.008205003723860571e+01;-2.595863875522959940e+00;2.528968381893006989e-01;4.090079207880171097e+00;1.146190230032815949e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.776047057663310280e+00;4.254462772252519898e+00;2.988700222045310539e+01;-2.506747276090816712e+00;2.528848261632501981e-01;4.187109784262638357e+00;1.279698288135652673e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.125985327027306582e+00;3.982141878186698847e+00;2.966723388101209125e+01;-2.418310709740637776e+00;2.547963722989076696e-01;4.292728637356947985e+00;1.515092795669983117e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.472387556789040985e+00;3.732913665915100321e+00;2.942665166431309132e+01;-2.328855035803957030e+00;2.637786468168369369e-01;4.413296069766505347e+00;1.571986745084414938e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.811890754774402978e+00;3.510957282468247342e+00;2.916975132315045016e+01;-2.236948072863401915e+00;2.784783030696210138e-01;4.532611968138239078e+00;1.320924945515877580e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.141865706683089954e+00;3.319417684244211131e+00;2.890105809435724993e+01;-2.143205614083154131e+00;2.798231152560886614e-01;4.627776522743203280e+00;9.452753448483697252e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.464612364502022146e+00;3.156830494644930596e+00;2.862225563577501575e+01;-2.055166467761274873e+00;2.640693344151866517e-01;4.693238163676554109e+00;5.124262381773875275e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.779897462514167916e+00;3.021489342036908443e+00;2.833749702670540316e+01;-1.974776486075420667e+00;2.452792574117045599e-01;4.727536903551952108e+00;6.612346673364165317e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.094477376861622275e+00;2.908784794257921025e+00;2.804379955068494823e+01;-1.900683883788963247e+00;2.256078414804136845e-01;4.731934847760314256e+00;-2.456077021950505701e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.407712442697599542e+00;2.817541234911032255e+00;2.774414838791900806e+01;-1.833083041738602592e+00;2.061968817721234470e-01;4.715648578288531567e+00;-4.893148127874408782e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.722046599939430322e+00;2.745614869474289232e+00;2.743815400829089768e+01;-1.771206055871245910e+00;1.878863565692940329e-01;4.682918405792234395e+00;-6.561698805930441525e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.036528977807799734e+00;2.691856791669385185e+00;2.712830043793795554e+01;-1.714836170219951939e+00;1.711226028608422156e-01;4.638643882282694975e+00;-3.836163135233868204e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.351776164464316921e+00;2.654775785707438107e+00;2.681524167717298468e+01;-1.663340639364257578e+00;1.561714629389518716e-01;4.612499229208725460e+00;-2.268834043482422513e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.665148818566850153e+00;2.633230580040938573e+00;2.650261054556249718e+01;-1.616548560353302300e+00;1.430715999474243827e-01;4.597058954404025677e+00;-2.479917421303076130e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.978181580463584943e+00;2.625720772944884818e+00;2.618966787858006384e+01;-1.573618736086372261e+00;1.317747924511108171e-01;4.580141040441109368e+00;-2.827885869512105077e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.288339304528748563e+00;2.631015062910490254e+00;2.587955534369789845e+01;-1.534365797673954201e+00;1.210577417438887665e-01;4.560950977733940093e+00;-1.019734680013481554e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.596930025762802074e+00;2.647832584580914972e+00;2.557142322236580156e+01;-1.498794749121469483e+00;1.091359471354391014e-01;4.554046298536899684e+00;9.630662271281502373e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.903086460569593186e+00;2.674761522723148932e+00;2.526645339621223485e+01;-1.467306234740845206e+00;9.636580887159400255e-02;4.560516141154827174e+00;3.007656231808121805e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.208419547726678367e+00;2.710566676899607064e+00;2.496322693785598190e+01;-1.439890907503290851e+00;8.302139964324523058e-02;4.580608569415941744e+00;4.590657151014897464e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.517256382226855216e+00;2.754589650760370212e+00;2.465754382069616213e+01;-1.416347645618441398e+00;6.928204004519912529e-02;4.611456133453485151e+00;5.295911589015649401e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.828267132452575439e+00;2.805521779896482215e+00;2.435073181803389986e+01;-1.396962636561845938e+00;5.522421927951936399e-02;4.647036126183175853e+00;6.270709478196923037e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.145768931217784115e+00;2.862944584594102171e+00;2.403846588374102566e+01;-1.381668611441780437e+00;4.094061445232937552e-02;4.689684111517943954e+00;7.707552336975068696e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.469511248267600934e+00;2.925670416516616967e+00;2.372085833052729598e+01;-1.370734568523124919e+00;2.648826993247700018e-02;4.742593092000920940e+00;8.972392658840646629e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.797671403186619443e+00;2.992029426333361108e+00;2.339947760756368211e+01;-1.364414334013909214e+00;1.194516506353175515e-02;4.804275761160961444e+00;1.030291495671793900e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
9.130808326119668195e+00;3.060682879149858149e+00;2.307349154522715651e+01;-1.362850067766112616e+00;-2.665750377828468316e-03;4.875194546524591388e+00;1.172586088519270486e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
9.470678646380468635e+00;3.130425603144522562e+00;2.274085392401755357e+01;-1.366230950000975497e+00;-1.729574015860263492e-02;4.956266365454940370e+00;1.304112828008390901e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
9.818056713962828752e+00;3.199687082120588055e+00;2.240045067878140372e+01;-1.374647453434159061e+00;-3.005977080608546875e-02;5.046842247737268750e+00;1.349308778994394498e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.017770451577411883e+01;3.267645880849914697e+00;2.204728196127805617e+01;-1.387386081463639176e+00;-4.093045365509805772e-02;5.142097679566752788e+00;1.424788030625228963e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.054711503715245691e+01;3.332029379415209824e+00;2.168352531402950234e+01;-1.404536596030301787e+00;-5.210965606359884567e-02;5.243456104965459552e+00;1.606323250098777633e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.091662481742212343e+01;3.389413481548755769e+00;2.131849854441217218e+01;-1.425911643602882695e+00;-6.369790262156267702e-02;5.355458544986755776e+00;1.875162966756536376e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.128557702107250194e+01;3.438123541297407826e+00;2.095277589176709299e+01;-1.451598243889776985e+00;-7.548855343612444202e-02;5.483122034447935889e+00;2.135538095324802210e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.163812715752574256e+01;3.475134966856236129e+00;2.060217390504810453e+01;-1.480337495767190426e+00;-8.746317994572960774e-02;5.618753931118907197e+00;2.038082870990587381e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.198861501216952696e+01;3.501197573053144829e+00;2.025265641362453195e+01;-1.513102501189022231e+00;-9.962807766347012151e-02;5.744479290983965925e+00;1.776319578712452163e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.234393794176041048e+01;3.515147001400352078e+00;1.989760740610326906e+01;-1.550693349545382960e+00;-1.120509153716485323e-01;5.853321832749259102e+00;1.450025623834315658e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.269925785861139289e+01;3.514952223201131432e+00;1.954228754263875345e+01;-1.592737820071764787e+00;-1.245941894726194932e-01;5.940692084759515268e+00;1.007747298438637751e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.305836046820576613e+01;3.498777144893503444e+00;1.918354940547010656e+01;-1.639710660409974041e+00;-1.314768601873982645e-01;6.001299177285393860e+00;2.026767169977554683e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.341563848583369811e+01;3.465898277620317103e+00;1.882778745982811230e+01;-1.685053990236002219e+00;-1.173230797229049965e-01;6.013353115078386324e+00;-8.599109390114618723e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.376977342690961059e+01;3.418623986684422356e+00;1.847682207990104786e+01;-1.723188017039866349e+00;-9.817698635610609681e-02;5.962496680685719141e+00;-1.891109031263577656e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.411891181308514120e+01;3.360100953699680648e+00;1.813262349287384723e+01;-1.754145702485940594e+00;-7.945174136926770603e-02;5.850713559615916104e+00;-2.573973317000194605e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.446217909544481017e+01;3.293276228121679861e+00;1.779592350298668180e+01;-1.778261061042653690e+00;-6.138179283008515091e-02;5.697694929169832889e+00;-2.481468346486054966e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.480030698106643428e+01;3.220530915249624648e+00;1.746571359021891467e+01;-1.796025846931487369e+00;-4.399369344545851074e-02;5.548479090293032101e+00;-2.321595331905568660e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.513369948158853795e+01;3.144003006135516642e+00;1.714122316119056322e+01;-1.807850396672739945e+00;-2.715360114687205215e-02;5.407181823243057295e+00;-2.327319132732700524e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.546488789158239641e+01;3.065075671922151468e+00;1.681957702204346816e+01;-1.814096146241672924e+00;-1.068672432622128771e-02;5.262703965013997731e+00;-2.211025264565088744e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.579379648213676823e+01;2.985565462808813741e+00;1.650042347343838500e+01;-1.814920838850026419e+00;5.616873139654722340e-03;5.122655816710471655e+00;-1.371011073250574253e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.612137798540393874e+01;2.906962250144075277e+00;1.618241219023987654e+01;-1.810410760717848344e+00;2.188120186386050686e-02;5.034219589939924688e+00;-6.465080614874014753e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.644728262345416780e+01;2.831025378648223789e+00;1.586547777328571485e+01;-1.800754484857979287e+00;3.361120125708336875e-02;4.992190594136374671e+00;-1.502811291707707164e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.677340183928711070e+01;2.758518163285042402e+00;1.554752109910545599e+01;-1.789136324578360249e+00;3.669215884876173700e-02;4.982363676026105637e+00;2.558915718872656897e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.710005139612379921e+01;2.689712136076998661e+00;1.522820047089385476e+01;-1.776803706414762152e+00;3.880500688775460894e-02;4.999112074888380164e+00;-3.396600930337563828e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.742486636044391801e+01;2.625311493485174008e+00;1.490983382961364612e+01;-1.763859167388458271e+00;4.087681067211410696e-02;4.976993889417119732e+00;-8.985524441970289544e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.774739476879599920e+01;2.565552259569086502e+00;1.459288997314078706e+01;-1.750346130908535081e+00;4.289450682826823069e-02;4.918419542495319874e+00;-1.332332322450417106e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.806944865003675460e+01;2.510261695416932781e+00;1.427561776203812549e+01;-1.736213216892495304e+00;4.484955752009275876e-02;4.830391827264588933e+00;-1.032220437843821115e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.839098020047856963e+01;2.459637964308647895e+00;1.395809646231447765e+01;-1.721485327471890425e+00;4.674428901089733301e-02;4.761187071450692976e+00;9.070273937892790739e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.871752575746956637e+01;2.413115037174967448e+00;1.363488195453137308e+01;-1.705920311749601792e+00;4.858774505200706001e-02;4.767403851411313731e+00;-7.499656928241293929e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.905611600306262687e+01;2.370297600534054361e+00;1.329900992305171670e+01;-1.689165741659039766e+00;5.038441945003136607e-02;4.713838918144323209e+00;-1.490416508545379548e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.940724200514696562e+01;2.331953394601408824e+00;1.294998386211768704e+01;-1.671168517008807752e+00;5.214284137252205714e-02;4.601481214352610039e+00;-1.495765447718973906e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.978270654931110073e+01;2.298028354252762195e+00;1.257605510478318500e+01;-1.651250533257069941e+00;5.722517215729143458e-02;4.477769040720103177e+00;-1.388553767443810205e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.016715264172940181e+01;2.271624329853876745e+00;1.219251680751517419e+01;-1.626707089736756373e+00;7.260064755233333611e-02;4.356921785161912197e+00;-1.334839265395200147e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.055822984775384299e+01;2.255757940925804395e+00;1.180176159158803273e+01;-1.594889115652772471e+00;9.004709840531655018e-02;4.235412261068987938e+00;-8.915645706118426883e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.093235991194966772e+01;2.253465258857496156e+00;1.142763855227595649e+01;-1.557881886260467752e+00;1.075274912078370282e-01;4.155910826899207322e+00;-2.711707795111706898e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.130372989374334480e+01;2.266072883700311014e+00;1.105648264005946224e+01;-1.514734532638367659e+00;1.274955953294504563e-01;4.131608092043335567e+00;2.499050090892785125e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.167346605560145889e+01;2.296063866159908429e+00;1.068796483810591091e+01;-1.461369742551903217e+00;1.725352900948204371e-01;4.153911802628643457e+00;-6.660969261701975286e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.205588221806947047e+01;2.351736911262559904e+00;1.030962288515097036e+01;-1.384018632939316484e+00;2.365657704248402271e-01;4.147775068389075059e+00;-5.691716402335802449e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.247531995074881550e+01;2.451838794683065093e+00;9.902305288513092663e+00;-1.270477355774345618e+00;3.064731199894930036e-01;4.089813430143248496e+00;-1.022301412977506541e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.289093421547992335e+01;2.601755756857880186e+00;9.514671283941442681e+00;-1.128476113448698026e+00;3.643581267719782080e-01;3.984571218237120238e+00;-1.137239786100890049e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.330340326880453716e+01;2.806715540593158753e+00;9.156729658810066397e+00;-9.742196924674229042e-01;3.667276613967068166e-01;3.865055673240866518e+00;-1.185319981601204109e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.365968394083576243e+01;3.025470510196588858e+00;8.875514117744454978e+00;-8.453169432630176505e-01;3.630645158113126048e-01;3.754203265410328338e+00;-1.175600920528243387e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.402444685866310436e+01;3.285119589505467452e+00;8.619322115847500854e+00;-7.111750727335677258e-01;3.785883976062913714e-01;3.638187861294793990e+00;-1.123278714164763104e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.441853417742139953e+01;3.602405399762861116e+00;8.385581812486249120e+00;-5.563609222239086494e-01;3.813611671938217373e-01;3.514409071338434387e+00;-8.448730959659905837e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.483423408605967708e+01;3.971059728198262917e+00;8.193487043771131795e+00;-4.133675234422576339e-01;2.763612268692635654e-01;3.413010955607654662e+00;-5.645016872591633872e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.527408401163567930e+01;4.382391975153004715e+00;8.037686723988475279e+00;-3.190834205236587895e-01;1.650807439926789133e-01;3.339468780036868978e+00;-4.098485079839233047e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.570587562304385187e+01;4.796139979395488417e+00;7.914169175972704195e+00;-2.674162144547678199e-01;7.800179526169853661e-02;3.286048301143747352e+00;-3.079100001072235804e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.611571524293137259e+01;5.192489500283769210e+00;7.809883168660221919e+00;-2.526301433285555453e-01;-2.206905735004874997e-03;3.247418359657819664e+00;-1.550537619818264934e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.649894688127505660e+01;5.563021376821325248e+00;7.712043416528787887e+00;-2.684901376767668824e-01;-7.773011233817564425e-02;3.229068439685258696e+00;1.292717484479078555e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.685819972910010378e+01;5.907578065188588745e+00;7.610341414720602771e+00;-3.098981383621227104e-01;-1.512759337780349711e-01;3.230506343737160613e+00;-2.917673525895604289e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.720756630910141993e+01;6.236872440405851314e+00;7.493627141077277898e+00;-3.755544611934671373e-01;-2.224717356715192607e-01;3.227349451872230546e+00;-3.228438084559043797e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
