# 2026-06-22 08:53:41
# 9d3f2fdd27453370b3100426bce2e380
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.541985606313955515e+01;8.142806484176460913e+00;-2.666170031720104472e+00;6.310402739142048079e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.787549096957594119e-01;-1.557389512743375626e+01;8.052113130441437505e+00;-2.553794838276872259e+00;6.118056061335759299e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.572935174475574960e-01;-1.571694311633758012e+01;7.945280048820986707e+00;-2.447343098113244686e+00;5.819029963202440037e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.367826966295436986e-01;-1.584879973937137976e+01;7.823500754991758122e+00;-2.345174246414388097e+00;5.583904876332140832e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.182580236660994766e-01;-1.596904550930216971e+01;7.687580744924158438e+00;-2.245469873314345222e+00;5.426381775021161813e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
9.040841853012508977e-01;-1.607770998436453880e+01;7.536837936779049230e+00;-2.145524708949016368e+00;5.355461721851989543e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.093917576906193068e+00;-1.617268528353084278e+01;7.372471245760137570e+00;-2.043911420453581762e+00;5.377352669581740852e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.287505063317915477e+00;-1.625176754083656405e+01;7.195773448731876520e+00;-1.938941808368862763e+00;5.484985441518682725e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.486009195217122825e+00;-1.631293461943613465e+01;7.006928329979360548e+00;-1.829350555540571133e+00;5.381087422324269953e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.691026420419826648e+00;-1.635459205923407566e+01;6.806187899723527224e+00;-1.722951843000754213e+00;4.968143170678676612e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.903168904577795528e+00;-1.637596997149960032e+01;6.595125306041270008e+00;-1.622028666642118200e+00;4.547908346108171518e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.122486282290398485e+00;-1.637658217259583182e+01;6.375808782777403039e+00;-1.526519046623735720e+00;4.175924021034286282e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.349040746367782262e+00;-1.635614337997430567e+01;6.150178153319510344e+00;-1.435522076390565838e+00;3.881290386466217934e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.580561423066120241e+00;-1.631486197398118065e+01;5.922367553789797512e+00;-1.348310754334792971e+00;3.682133613228387725e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.815387494183359429e+00;-1.625332530548836374e+01;5.695747779482338125e+00;-1.263507557710070506e+00;3.536514626090082603e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.049815490121323247e+00;-1.617334842886570812e+01;5.475384024556137597e+00;-1.182468686261542778e+00;3.364868666578796352e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.282163876961828208e+00;-1.607718658458632177e+01;5.263868841715349411e+00;-1.106485742577671960e+00;3.169171282912124354e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.514194360397756345e+00;-1.596588381419640079e+01;5.060276507510352850e+00;-1.035298259971452861e+00;2.965727044233658627e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.743167175023942139e+00;-1.584257817533629265e+01;4.867340587414746622e+00;-9.697056292237280495e-01;2.766753632408780472e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.969221796588766615e+00;-1.570910110987105668e+01;4.684900008250995285e+00;-9.093218045580087061e-01;2.580565720585186740e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.194062954896210726e+00;-1.556601258838791502e+01;4.511466385533824841e+00;-8.532657939125248836e-01;2.411306373074668663e-01;2.576470588235293846e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.418313394894689772e+00;-1.541414675497564879e+01;4.346466299226243279e+00;-8.009463388901321146e-01;2.261281212245145611e-01;2.576470588235293846e+00;3.658593949025874537e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.640637470566070455e+00;-1.525552049718314152e+01;4.190691766770264337e+00;-7.521897979531595446e-01;2.131712366940923808e-01;2.874889167948860180e+00;3.596739929363557575e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.861089255371991769e+00;-1.509111765225651780e+01;4.043822117066355304e+00;-7.064696934597113342e-01;2.022821092808323451e-01;3.138598923375131022e+00;2.274540168459779910e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.081003567004100496e+00;-1.492075442405396757e+01;3.904758552690095641e+00;-6.630294834175480823e-01;1.927474667728454327e-01;3.294117647058823373e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.302654729188416738e+00;-1.474323788891447329e+01;3.772029062938470734e+00;-6.215808657446104668e-01;1.787964260550620188e-01;3.294117647058823373e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
