# 2026-06-22 15:03:19
# 3861f6a37ba70717224eaa7aa6a08dd5
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.519161400468687795e+01;7.753667677371119282e+00;5.505083644503619977e-01;-2.528953082162245791e-01;4.771915547686676362e+00;2.938992022654048242e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.554062922601161245e-01;-1.505383314097029945e+01;7.825553345397160854e+00;4.284563379877810996e-01;-8.075877475815556039e-01;4.866688165549471812e+00;2.570611741513524784e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
3.274313588738531622e-01;-1.489215361056700893e+01;7.884310072603772035e+00;3.313348905100798047e-01;-3.237359137268246423e-01;4.956719985317217692e+00;1.177072657936436340e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
5.051909201571228580e-01;-1.472191598042462246e+01;7.935472665492762090e+00;2.552757312639923892e-01;-3.850846199111866985e-01;4.998754329969592014e+00;-3.627574827137641789e-02;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
6.845485463007707772e-01;-1.454700648759809667e+01;7.975169357735971687e+00;1.935463305345836438e-01;-3.030087402188688661e-01;4.997452569779594178e+00;1.248101153373829542e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
8.661189941388662827e-01;-1.436800711892655968e+01;8.005616911715195627e+00;1.451576878480884125e-01;-2.600175878785375150e-01;5.001985190328909425e+00;6.485503167371891031e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.051287443977474867e+00;-1.418418812542383733e+01;8.027931311623762056e+00;9.560604451539991833e-02;-2.815575898673809419e-01;5.025936525450243053e+00;1.339143750056950521e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.240280524044200972e+00;-1.399563339899806458e+01;8.040795970795691971e+00;3.973371228661241178e-02;-3.054436659198458970e-01;5.076043317565916979e+00;2.216958708595415661e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.433236633236598667e+00;-1.380268652127406348e+01;8.042683416484402770e+00;-2.013678115378627828e-02;-3.097081640662312507e-01;5.159628592748430442e+00;2.881775826281689490e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.630100952541754467e+00;-1.360607409593695216e+01;8.032727794025653623e+00;-8.101539991497447302e-02;-3.112264729073708214e-01;5.268434766414892501e+00;3.134362379595149850e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.831782180327667930e+00;-1.340567053851598267e+01;8.010062141282929815e+00;-1.455785546481447590e-01;-6.675236862615424593e-02;5.387085389526937718e+00;-7.456560413204246229e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.037193078489349940e+00;-1.320189342926152776e+01;7.984206255541250741e+00;-2.238462013065859180e-01;-6.853546584744841796e-01;5.358577912069579341e+00;3.397662837440316164e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.251775135804257033e+00;-1.299510011857143610e+01;7.926917635595145839e+00;-3.175232134051597099e-01;-3.967685953608555138e-01;5.492951137882137402e+00;3.830770582434757099e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.471799754954156825e+00;-1.278890986342263858e+01;7.850129539423067904e+00;-3.890039571366110671e-01;-2.361412884442992133e-01;5.644310398982533172e+00;4.000303436424970549e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.695607357920761782e+00;-1.258355421569496002e+01;7.761141331822267730e+00;-4.222657769747281686e-01;-7.534227025425346835e-02;5.800761719511761783e+00;4.384865718582249272e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.921758534961492959e+00;-1.237760215247142348e+01;7.667717017369998445e+00;-4.267344124038284225e-01;2.835371240509959034e-01;5.969264746465757554e+00;5.376724707015537064e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
