# 2026-06-22 09:17:35
# 975c47d911a04e02ce730e1616058c9b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.525618806164740171e+01;8.215724503042061144e+00;3.797486884449261524e-01;-6.335426614626292752e-01;3.306584050136001540e+00;5.530051781646080356e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.803264112539135211e-01;-1.508517901297458330e+01;8.272939185316221966e+00;2.680713629829893918e-01;-5.826371962616601063e-01;3.336606203761587786e+00;5.419031812302965712e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.627654005901405632e-01;-1.490702391626570922e+01;8.312242446588992806e+00;1.685080459911967310e-01;-5.074453672941048321e-01;3.366105984128217710e+00;5.326820903408651109e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.482956264739791141e-01;-1.472291222518741449e+01;8.335141134865807544e+00;8.125629584571303354e-02;-4.339052675903627421e-01;3.395338974752628136e+00;5.825434161481353179e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.374743315279490563e-01;-1.453390371989045526e+01;8.343164062717052687e+00;5.719314762347327274e-03;-3.722379534806181667e-01;3.427642976111057838e+00;6.638599498679482735e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
9.310657629662312251e-01;-1.434039275817029768e+01;8.337582842378916226e+00;-6.273144761943896808e-02;-3.432172197902396693e-01;3.464934569024707312e+00;7.570207508684047015e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.130569189434205146e+00;-1.414181378241401710e+01;8.318399319239283329e+00;-1.291855489228306564e-01;-3.225110563607009317e-01;3.508251421297174488e+00;9.014156321796805704e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.334974692889089765e+00;-1.394006649928993369e+01;8.285541388770433002e+00;-1.930055913998771910e-01;-3.018383324316757377e-01;3.560384342633422072e+00;1.132745071198987041e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.544565290991178230e+00;-1.373570933708295527e+01;8.238997118795474250e+00;-2.541809943100921676e-01;-2.776194159793711758e-01;3.626453102028041275e+00;1.431205443674832489e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.759648550074245144e+00;-1.352917544917180592e+01;8.178959118478188017e+00;-3.096128837095000752e-01;-2.285722419959771989e-01;3.710366392109385902e+00;1.725706741032412284e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.980980972503683102e+00;-1.331998566736372602e+01;8.106656446289871809e+00;-3.537385648619102430e-01;-1.688998808505836335e-01;3.811919263374534239e+00;1.926498016647025358e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.209374535251201532e+00;-1.310711091630096625e+01;8.023904045330910506e+00;-3.854556403371438567e-01;-1.078364752194287679e-01;3.925650005003239684e+00;1.906335996539144872e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.444906485846498612e+00;-1.288978599584541662e+01;7.933101078968491926e+00;-4.036524481178383472e-01;-4.966368091799613221e-02;4.038407363465419841e+00;1.903270845692607072e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.686387547260514541e+00;-1.266809019121855684e+01;7.837371912919221195e+00;-4.104924770173703497e-01;-1.534756692138954451e-02;4.150655582103160768e+00;1.945103154312655125e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.932385136394354497e+00;-1.244261429285287868e+01;7.739008133427724090e+00;-4.111893886897786676e-01;9.975374450900171761e-03;4.264378399532481545e+00;2.045509643447412262e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.181987885787699089e+00;-1.221358797548730912e+01;7.639768632931791537e+00;-4.055161040628958435e-01;3.570628325427341321e-02;4.382471083330654160e+00;2.222406682470694950e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.434829651838094744e+00;-1.198069724697831617e+01;7.541326430426801508e+00;-3.932263574906367798e-01;6.158432850126344810e-02;4.508867624713054134e+00;2.493766174492193510e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.690658113742636193e+00;-1.174352432781357258e+01;7.445424353622816405e+00;-3.741971885261022313e-01;8.723392121820838785e-02;4.648208255524418853e+00;2.743788350097847939e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.949017198694836583e+00;-1.150189359739490058e+01;7.353969409007025781e+00;-3.483394148568684234e-01;1.131837899794889274e-01;4.798291912919943947e+00;2.427342334158619330e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.209386282050007644e+00;-1.125578260778238615e+01;7.268990350650505583e+00;-3.154534163400424251e-01;1.395901761213036441e-01;4.928246653594064774e+00;2.020761573294503233e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.471011601012840231e+00;-1.100553786623877528e+01;7.192666194237380850e+00;-2.754573326187002569e-01;1.633148447432804518e-01;5.034379789108397674e+00;1.689732481864069324e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.733312943437818276e+00;-1.075160308987166857e+01;7.126946154756770291e+00;-2.311967818643128336e-01;1.658768070447075027e-01;5.121661650055300719e+00;1.382939524885458349e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.995759912847723250e+00;-1.049490679595138687e+01;7.072307117063596493e+00;-1.885450777811768230e-01;1.592596046126856235e-01;5.192043396584230308e+00;1.342592912401726180e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.257601400980995265e+00;-1.023675054217821057e+01;7.028531398387078966e+00;-1.476669906569496871e-01;1.531622370828614188e-01;5.259316275362683868e+00;1.453723264698474793e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
