# 2026-06-22 09:31:49
# b101debab6ca86aa8237357cd55c00e0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.525618806164740171e+01;8.215724503042061144e+00;3.821893917532435681e-01;-6.424681682141710759e-01;3.305250889375700218e+00;5.566068648516551143e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.820089818419135808e-01;-1.508365542910894241e+01;8.273687941350006625e+00;2.685081457611387390e-01;-5.835178637067859331e-01;3.335760533856499066e+00;5.450868292256292325e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.664959765286876503e-01;-1.490350023332513629e+01;8.313431577830030506e+00;1.681579492853159941e-01;-5.063527540808930860e-01;3.365772006712420605e+00;5.292424632947611007e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.541401196009739794e-01;-1.471727098003623979e+01;8.336431352802684103e+00;7.950132892964818787e-02;-4.432755161755335682e-01;3.395149436795643627e+00;5.348633320532929503e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.460795034601088727e-01;-1.452547549949389882e+01;8.343862417313026469e+00;-2.508351041414333036e-04;-3.872624491550309411e-01;3.425253621993571862e+00;6.060044346049427988e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
9.421215023446787296e-01;-1.432956348599363139e+01;8.336724610021658322e+00;-7.087028745133816532e-02;-3.401174486977159295e-01;3.459764011658283067e+00;7.553884281932823352e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.143243227091775616e+00;-1.412952785545986067e+01;8.315851309319473472e+00;-1.362205917868374860e-01;-3.121139423264465695e-01;3.503400785441237453e+00;9.639311178806716507e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.348776969130263570e+00;-1.392686870335534266e+01;8.281596569725929058e+00;-1.978121070163977591e-01;-2.865292672941930352e-01;3.559502465637717883e+00;1.222215768317142848e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.559363053203440819e+00;-1.372168822032498170e+01;8.234189099969539072e+00;-2.551979528315131418e-01;-2.558075138538809523e-01;3.631090892275458781e+00;1.432659198779303811e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.774820196874214551e+00;-1.351471552340923843e+01;8.174321884482326439e+00;-3.067253463308909356e-01;-2.219295062769110483e-01;3.715127775139245969e+00;1.626570593727210357e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.996865225099162977e+00;-1.330466010097239682e+01;8.102344707097421050e+00;-3.520118386095404950e-01;-1.782792875577159930e-01;3.811104592162112503e+00;1.874299986132030860e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.225521908464551224e+00;-1.309150181172025995e+01;8.019595552595626842e+00;-3.862823812019104963e-01;-1.191284014008740372e-01;3.921946028353861635e+00;1.945754292104447503e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.460687186122455739e+00;-1.287471072047356557e+01;7.928467452802057558e+00;-4.071405382259444816e-01;-6.061941930530762024e-02;4.036930559971800392e+00;1.884198133636634465e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.701591022379503215e+00;-1.265399954845467789e+01;7.831920899940698177e+00;-4.160082292177483265e-01;-1.725406210247655558e-02;4.147846364483272374e+00;1.898201067135966147e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.946570227589276225e+00;-1.242996812074273194e+01;7.732801121982113557e+00;-4.154831003545003121e-01;2.145024815968990181e-02;4.258482011335462225e+00;1.998060218889362138e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.194544581986456855e+00;-1.220267037332159177e+01;7.633669822908743186e+00;-4.058344440660039409e-01;5.072960297152376286e-02;4.373283026116567385e+00;2.172081947926365775e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.445084874661720420e+00;-1.197177256672867962e+01;7.536424559968130765e+00;-3.905683217593617917e-01;7.090150344794446391e-02;4.495997388835489161e+00;2.479502760527475758e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
