# 2026-06-22 08:51:38
# 404a03c8b228245a299003642cadb54c
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.528305907477068537e+01;7.873656234187056846e+00;-2.730592625819222796e+00;4.946580282578099674e-01;3.045099077966577639e+00;-2.052064832495801572e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.084483930512432137e-01;-1.546940234704909400e+01;7.780238262456664167e+00;-2.620366805117124276e+00;5.720872377809653742e-01;3.031019378242039153e+00;1.524416290148858655e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.130876258851752247e-01;-1.564024558373071905e+01;7.667589231857166787e+00;-2.493551855693993513e+00;6.696024339277141246e-01;3.041294058013114920e+00;5.097598857197206401e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.152048434580630332e-01;-1.579230203011625200e+01;7.534434409368420127e+00;-2.348997042758808718e+00;7.117339860770289794e-01;3.074984885616474983e+00;9.503931527915698840e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.163930187399097704e-01;-1.592312674218491253e+01;7.381589466418412293e+00;-2.210712645796173437e+00;6.548920814820564651e-01;3.136550298527151170e+00;9.679249414475920021e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.017106982116199765e+00;-1.603248920691146751e+01;7.213286327995055203e+00;-2.085186282978081618e+00;6.007434482055402647e-01;3.197889910188932650e+00;4.457233186635224387e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.216104288793704358e+00;-1.612013698880966928e+01;7.034630809207568447e+00;-1.969528764880080107e+00;5.730889325025736447e-01;3.225506992328954770e+00;-9.644708559521081304e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.410671986002340894e+00;-1.618562096122627736e+01;6.851413893630396323e+00;-1.858620935570426846e+00;5.713657362805418805e-01;3.219683894867552354e+00;5.929918665071712974e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.602000888869097750e+00;-1.622979141600015396e+01;6.665253425224062056e+00;-1.748520879757656132e+00;5.831173455416238660e-01;3.223205807812314916e+00;-3.471604243486749175e-02;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.791306455058889080e+00;-1.625281602470608888e+01;6.477353279443447853e+00;-1.636174346108521638e+00;5.806178649428229699e-01;3.221166217284825883e+00;1.550924654554729221e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
1.980024336659260920e+00;-1.625510508660418907e+01;6.288649280992544277e+00;-1.533461301865002513e+00;4.816169332206849396e-01;3.230239811909156877e+00;2.538028537514436245e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.170086646730624125e+00;-1.624008393406979067e+01;6.099181482445663605e+00;-1.454001566474011575e+00;3.534045685203156539e-01;3.245138819190376722e+00;2.972058828133121722e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.361935575877251559e+00;-1.621205710667083721e+01;5.909390785727786977e+00;-1.398390837901216210e+00;2.305126264482992293e-01;3.262661983185499714e+00;3.332875253152757788e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.556620911363363557e+00;-1.617506598666630069e+01;5.718251996116284985e+00;-1.361264579333100633e+00;2.565681264114982318e-01;3.282489238959149791e+00;3.855280260395493874e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.754291333098780825e+00;-1.612779025709757619e+01;5.526318150683014352e+00;-1.288624116407317999e+00;5.077800148403446290e-01;3.305624083116339484e+00;4.793906607899309225e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
2.955115435996512829e+00;-1.606030287504656329e+01;5.337173302567662425e+00;-1.157132620847147964e+00;8.096259395679038517e-01;3.334620964616536121e+00;5.915904477821839480e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.161336362545346113e+00;-1.596004718219672114e+01;5.156962685239333766e+00;-9.646186697201486471e-01;8.682169946400634108e-01;3.371007807498861197e+00;7.153203430189226664e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.371944520590821170e+00;-1.582616873155437354e+01;4.994382376810199808e+00;-8.109864647688729278e-01;5.676878168692752746e-01;3.415406013628485837e+00;8.484871080754489148e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.588002405169947284e+00;-1.566967124174668591e+01;4.845420820787514238e+00;-7.208503225809045345e-01;3.131532559194003529e-01;3.468665867052707075e+00;1.064740509492196008e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
3.808781161876317878e+00;-1.549972308172591617e+01;4.704492178140372793e+00;-6.647395721208994024e-01;2.408577347028295901e-01;3.535786626630303076e+00;1.446550088450281768e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.035332128780837913e+00;-1.531779702853511793e+01;4.569480135063498594e+00;-6.132194323042340356e-01;2.125152163239377168e-01;3.627288479220553974e+00;1.900452826518291616e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.268084670864163321e+00;-1.512434599980013417e+01;4.440056623568768401e+00;-5.672615675753429620e-01;1.813677471385611861e-01;3.747251281199234452e+00;1.937073116000266548e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.505906931169665341e+00;-1.492121930435894406e+01;4.316367605883446146e+00;-5.279563709880858990e-01;1.486108763068609839e-01;3.868236080967359491e+00;1.696400307816823050e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.746970329173424652e+00;-1.471099406600913184e+01;4.198397647767477814e+00;-4.961309390198355151e-01;1.151607870412830054e-01;3.972547095158420749e+00;1.471195589134875803e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
4.991269822519137200e+00;-1.449468902759871725e+01;4.084844255888410380e+00;-4.720844394920125087e-01;8.134096618929370637e-02;4.062013675177349903e+00;1.483836448876260317e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.242588460372645365e+00;-1.426985983563307059e+01;3.972537122666085274e+00;-4.558813224190780833e-01;4.708404772337311528e-02;4.152804667641585290e+00;1.678686410821896402e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.505309595055389416e+00;-1.403342647500118723e+01;3.857987305602494033e+00;-4.477495790786689134e-01;1.776392741428674607e-02;4.257680049609294137e+00;1.857714368577940478e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
5.778136250360377701e+00;-1.378733568779022001e+01;3.740200598819456879e+00;-4.461453820112522561e-01;-6.175917483135134715e-03;4.375100844577559656e+00;1.609015223454848487e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.055841758379951756e+00;-1.353704833750561853e+01;3.619881890914480316e+00;-4.511950314796139838e-01;-3.044501830832196596e-02;4.476066596947010368e+00;1.127114181657213887e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.336001512935188096e+00;-1.328558893583074685e+01;3.496360000620631681e+00;-4.631540559983864380e-01;-5.506131814447604717e-02;4.546066018579406176e+00;5.793258253478139608e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.617758765381703157e+00;-1.303464766497720895e+01;3.368236513747143945e+00;-4.821473061384415337e-01;-7.977987334841109279e-02;4.581830938710531598e+00;8.448258806202612048e-01;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
6.900209741551388554e+00;-1.278604274805210217e+01;3.234168809881265982e+00;-5.081603928493404476e-01;-1.021297066679348331e-01;4.633618298940283431e+00;2.603403486866425087e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.183150636017132662e+00;-1.254098748058527590e+01;3.092735201259278366e+00;-5.389923528881821468e-01;-1.114456409105067380e-01;4.789951686889200033e+00;5.578262639266259093e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.467036420583530898e+00;-1.229971805352763958e+01;2.943135060062288311e+00;-5.713082360894969902e-01;-1.163202469188476529e-01;5.109874371690927397e+00;6.000000000000008882e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
7.750774002149618980e+00;-1.206364149338874547e+01;2.785734701276294079e+00;-6.050362311968906504e-01;-1.214934303204580485e-01;5.432832325155711573e+00;5.999999999999992895e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.032093608158319853e+00;-1.183507063287489203e+01;2.621734449908049491e+00;-6.399712411241538224e-01;-1.269046586103724505e-01;5.735111362943288604e+00;6.000000000000006217e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.309723129503918670e+00;-1.161537915754612804e+01;2.451988148650973809e+00;-6.759769668129714804e-01;-1.320849506173181753e-01;6.018559346015325495e+00;6.000000000000018652e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.583881672828633569e+00;-1.140468580787226927e+01;2.276570876750117822e+00;-7.120169990640117241e-01;-1.086655344760919517e-01;6.285933432785063779e+00;5.839466479922848841e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
8.855693053023180994e+00;-1.120104665213922601e+01;2.096536100510642875e+00;-7.324704377544967171e-01;-3.765218145802917693e-02;6.533561510265305294e+00;3.695396746953386380e+00;1.000000000000000000e+00;1.000000000000000000e+00;4.099999999999999756e-01
