# 2026-05-01 22:34:06
# c25e7f815764b9b992eacefb6c4e75ed
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-6.622789248149593355e+00;7.190764511102456069e+00;-2.795092582404557380e+00;2.271904818284079530e-01;2.873264206499041240e+00;-1.010611432564072487e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.620256457569199449e-01;-6.865945192706750966e+00;7.093129344994913765e+00;-2.714004636145390226e+00;4.315979446008261222e-01;2.779574603045349424e+00;-7.398044455503517414e-01;1.000000000000000000e+00;1.000000000000000000e+00
5.113481246128779301e-01;-7.085668174136205977e+00;6.975301038147064148e+00;-2.573851498161274343e+00;6.902200545653693897e-01;2.712403955429236735e+00;-5.781715942483438564e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.509375991788176385e-01;-7.274771271316417653e+00;6.828184978657848347e+00;-2.377281740281206091e+00;9.039328531266981326e-01;2.660843392700582122e+00;-4.403159903275519205e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.837275838450605381e-01;-7.423976617559659097e+00;6.649498265068549685e+00;-2.152504017508523493e+00;1.023574244453484550e+00;2.622038377904686524e+00;-3.141051619078352175e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.211793170719348778e+00;-7.525086343251887300e+00;6.445070440918421184e+00;-1.899154047662698463e+00;1.223159664091565846e+00;2.594573587128245595e+00;-1.968536745182537517e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.436247132511508262e+00;-7.565639914489294959e+00;6.224310415496949744e+00;-1.602866030510938122e+00;1.260883601512952756e+00;2.577487715731269891e+00;-7.025158232410411152e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.658300919463658651e+00;-7.543303451784547420e+00;6.003382900837434200e+00;-1.345093754473132286e+00;1.073177465626072635e+00;2.571428331678077939e+00;7.952859279653097524e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.878900308938864727e+00;-7.469976578484094354e+00;5.795326994194981651e+00;-1.121841088053534108e+00;9.736053029005219406e-01;2.578241955866473312e+00;1.977204666365417196e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.100138051205690637e+00;-7.353519142067368897e+00;5.607221161997872905e+00;-9.160877038825088192e-01;8.522902143151189769e-01;2.595152797479832518e+00;2.193498740771949174e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.324696981243438376e+00;-7.201338805799448295e+00;5.442091339394320215e+00;-7.422837430279004556e-01;6.953138035521688742e-01;2.614064266295069494e+00;2.259009820883723096e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.555587335223403755e+00;-7.020029740819381026e+00;5.299131979725051345e+00;-5.982842229389722100e-01;5.693033545618367830e-01;2.633941666734172848e+00;4.433620695507078380e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.795667891597406030e+00;-6.813314585353993813e+00;5.177035632319523906e+00;-4.715326148016300012e-01;4.929552041551621966e-01;2.674048228514982917e+00;7.884952884483560354e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.049585563494263241e+00;-6.580611897523154674e+00;5.075430301859833015e+00;-3.549108881755844158e-01;4.213600115709759120e-01;2.747900963337837066e+00;1.162505685740190975e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.322993111558428136e+00;-6.319458301658860577e+00;4.994495224757209861e+00;-2.494453692446124415e-01;3.500634222076766111e-01;2.861229694136904644e+00;1.552503340341192972e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.617289677641103651e+00;-6.031093715650755804e+00;4.935704627342071937e+00;-1.562458731970182702e-01;2.784186708241906949e-01;3.016691592854555903e+00;2.306237769583999064e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.933694596047271119e+00;-5.716818061001896822e+00;4.899059228085897111e+00;-8.033043390412057672e-02;1.945283200570417093e-01;3.249590453121785405e+00;3.026821661093249016e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.269881732223275606e+00;-5.381095786835542683e+00;4.881385938669521529e+00;-3.076702304311839525e-02;8.994153691038357656e-02;3.548942817930027527e+00;3.364091385993671413e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.622247201687001095e+00;-5.028812727692458573e+00;4.873765550806566260e+00;-1.807553336044344025e-02;1.195820223616032157e-02;3.868562317712640031e+00;3.981319102809870891e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.988453155123568905e+00;-4.662661774446734242e+00;4.867418916294239395e+00;-1.692024561290057447e-02;8.527963999615445490e-03;4.228680636083270272e+00;4.420237219847039434e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.366397474311670912e+00;-4.284755337121602281e+00;4.862067931825567513e+00;-8.078027928802368127e-03;5.018287186133349453e-02;4.606836985980251598e+00;4.007716670100767153e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.754507592828560725e+00;-3.896650193191469214e+00;4.864032963673845522e+00;2.097168514812364909e-02;8.639252666512479972e-02;4.932931967808339202e+00;3.056796814079701274e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.149475555915207892e+00;-3.501980885246226194e+00;4.879389696100957075e+00;5.717558348161534687e-02;9.364613798906323838e-02;5.171894374547790107e+00;2.086608789924774943e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.544873214886174573e+00;-3.107721591504415404e+00;4.909371657643343489e+00;9.357103389142572281e-02;7.673225177775465367e-02;5.329031045408543221e+00;2.783140849493553892e-01;1.000000000000000000e+00;1.000000000000000000e+00
6.937560795345625309e+00;-2.717243766639908742e+00;4.950972188122906736e+00;1.159935789657510624e-01;3.692378980154059631e-02;5.349500243217226725e+00;-2.778607632557761775e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.327374140652133327e+00;-2.330261016566664622e+00;4.997863502081890452e+00;1.229369675670026196e-01;1.525765218665814512e-03;5.143041529979909932e+00;-5.184552392034175838e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.713950879553804540e+00;-1.946518980745618244e+00;5.044592775602558810e+00;1.173899231057159986e-01;-2.997582260738328522e-02;4.737343292009059681e+00;-5.520672053124822121e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.094275469804401268e+00;-1.568479764879269878e+00;5.086223836319779146e+00;9.997145648712348065e-02;-6.141914471685271798e-02;4.271197348907914026e+00;-3.975771660766219462e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.465286570285446288e+00;-1.198859261678265842e+00;5.118316207587614741e+00;7.112796173154982415e-02;-9.709651429695476121e-02;3.910628588228948654e+00;-2.880672512471987190e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.822837432486528186e+00;-8.417776002829220339e-01;5.136627574436601229e+00;2.877392322341564695e-02;-1.440659684657602246e-01;3.637724848578697490e+00;-2.281191470998475967e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.159452474164325508e+00;-5.051628122726670167e-01;5.137040825638765185e+00;-3.053185985940252284e-02;-2.107523201290940895e-01;3.420127972722151632e+00;-1.729159110049116821e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.470037957013230923e+00;-1.952738685690219300e-01;5.116251772588496394e+00;-1.064597023603553183e-01;-2.708807253259739589e-01;3.259320775186473895e+00;-1.245566037966491901e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.758868138864237096e+00;9.039060651780018996e-02;5.073605769007199839e+00;-1.920179824803280311e-01;-3.182152620265327747e-01;3.147007751032011136e+00;-9.347500355769448044e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.003300332028055131e+01;3.568115727740128751e-01;5.009030491777742178e+00;-2.862868237181355191e-01;-3.997242451913458061e-01;3.064500292689164240e+00;-9.438561865322914191e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.029523636562209354e+01;6.035885850214056658e-01;4.920332823852650250e+00;-4.119874572895997900e-01;-5.802766622633283022e-01;2.982640018435737783e+00;-1.162317025258436498e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.054856003105204465e+01;8.265333262890032229e-01;4.800047655157628768e+00;-5.876979023395949575e-01;-8.216065425443297432e-01;2.882231194945008124e+00;-1.364944848209159955e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.079573428763574583e+01;1.015464928146816659e+00;4.640673996929092660e+00;-8.251010839808562425e-01;-1.019597225569598198e+00;2.762697631816848798e+00;-1.123597864802809321e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.103883204372122506e+01;1.156606843992157518e+00;4.442746033757382307e+00;-1.072904815015395252e+00;-9.405481888473151697e-01;2.661993607335379597e+00;-6.761946642160743259e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.127790795362719756e+01;1.247991332786288821e+00;4.221824857983749624e+00;-1.280091191864961120e+00;-8.307844179889067870e-01;2.600554990045852222e+00;-3.388326322797319268e-01;1.000000000000000000e+00;1.000000000000000000e+00
