# 2026-05-01 22:35:51
# af048aae521cc13d24956aab116ba6ba
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-6.751538761199846306e+00;7.351701402415273812e+00;-2.800085985157097390e+00;3.012561530791999509e-01;2.928644134851028369e+00;-1.225227431636477515e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.652928191223936638e-01;-6.997124058275094427e+00;7.251361272166358951e+00;-2.695173899763911862e+00;5.362606104060060330e-01;2.815469479462966440e+00;-9.704086049521889468e-01;1.000000000000000000e+00;1.000000000000000000e+00
5.177307576384233556e-01;-7.215335494906223168e+00;7.124441290581103203e+00;-2.521535029146727336e+00;8.317234554856701712e-01;2.727073980346476301e+00;-6.963592340255250202e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.599532193627266397e-01;-7.395366938190565342e+00;6.962390679990651421e+00;-2.287780792662799989e+00;9.752923872374389402e-01;2.664504606575591517e+00;-4.482836698910055429e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.960319142268524439e-01;-7.529472272006494826e+00;6.768099893768383168e+00;-2.066934662290050628e+00;8.900098488125600671e-01;2.624485540259082761e+00;-2.657326118179616503e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.226848257569106870e+00;-7.618503695313692425e+00;6.555145461981242150e+00;-1.867432471996675947e+00;8.678774358524132815e-01;2.601010090617833725e+00;-1.481343117463490844e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.453803768455194545e+00;-7.662929627349697626e+00;6.332580549013592908e+00;-1.665557917781584685e+00;9.365682424968487796e-01;2.588052104323150804e+00;-3.221734813059230762e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.678213857131477527e+00;-7.659621183248753518e+00;6.108194849608911348e+00;-1.440924339783366204e+00;1.054284711550665055e+00;2.585257027606672420e+00;9.010029037715810984e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.901510127729595823e+00;-7.604095684711126069e+00;5.891912294891301194e+00;-1.202240251541798477e+00;9.982907430495703283e-01;2.593027577260168748e+00;2.090179163279886343e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.126463305556074435e+00;-7.501113826523866379e+00;5.691915622172651901e+00;-9.935261910196310220e-01;8.653702383765097261e-01;2.611097567199096581e+00;2.604893961186712792e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.356420731482123276e+00;-7.357834026509534553e+00;5.512050904547467489e+00;-8.057803422552468620e-01;7.788946303612308553e-01;2.633938770635718907e+00;3.187541366353471295e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.594065191124973246e+00;-7.178511008446677444e+00;5.356108144562368167e+00;-6.300854642456457100e-01;6.754409634160817300e-01;2.662542723897076247e+00;6.175428804167730767e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.840806232867898018e+00;-6.968417138370649688e+00;5.226718394439489934e+00;-4.797435215840790135e-01;5.376646983064721219e-01;2.719169009798247938e+00;1.062482385525086670e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.097708226064376014e+00;-6.733478090052938292e+00;5.122784388051343285e+00;-3.589868599806335103e-01;4.051075666537444775e-01;2.817762905036949928e+00;1.421153868332224013e+00;1.000000000000000000e+00;1.000000000000000000e+00
