# 2026-05-29 15:56:16
# 7a5836f9cc5a4fc96d7666776a2b0165
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;3.665933842399655873e+01;1.992910561032515204e+01;-2.744945721943977901e+00;1.991170319928363408e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.493042275057636648e-01;3.606219229542815441e+01;1.967413015858004144e+01;-2.731284936233410399e+00;2.032554302506514587e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.298181038722614034e+00;3.546885281759054465e+01;1.941147186311930284e+01;-2.718558275967990934e+00;1.888454016402740798e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.945696271205820338e+00;3.488001110351180500e+01;1.914213673347856570e+01;-2.706822856259636811e+00;1.726574961057542046e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.592556020481600054e+00;3.429480870684662364e+01;1.886651799287761833e+01;-2.696232991148718394e+00;1.548490202568474083e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.240050739433916416e+00;3.371182606253729830e+01;1.858477227861519054e+01;-2.686742079706327502e+00;1.410906384806067705e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.888691417276707973e+00;3.313041675920318596e+01;1.829719976437069917e+01;-2.677815256752779316e+00;1.359379214564870007e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.538339909885218404e+00;3.255066832749596273e+01;1.800405318007962308e+01;-2.669110215044902201e+00;1.318336607682476548e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.188796340062157064e+00;3.197273553750646258e+01;1.770557829367629665e+01;-2.660679830407858049e+00;1.271417739619278182e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.839670593467945814e+00;3.139692204943010267e+01;1.740213782060805414e+01;-2.652572329152783848e+00;1.221050011854524046e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.490052960065535892e+00;3.082397072092540924e+01;1.709436518058657839e+01;-2.644762229008391863e+00;1.195777227430447343e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.138996606217371088e+00;3.025468970865200191e+01;1.678284152988602074e+01;-2.636979518747365692e+00;1.195271055435518336e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.785686188484461034e+00;2.968980684634666645e+01;1.646801655043471513e+01;-2.629265729799236784e+00;1.317722077310722571e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.429353270054619429e+00;2.913024845548367736e+01;1.614989437404352657e+01;-2.619445355254961694e+00;1.822448464422024919e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.069215643087717993e+00;2.857773430020943906e+01;1.582716853893709441e+01;-2.605779012706916475e+00;2.437190345631953109e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.704603866064161366e+00;2.803412975992271683e+01;1.549821216238114019e+01;-2.588425415797511953e+00;3.010390729798200285e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.033496928398114889e+01;2.750113781764818199e+01;1.516164099668794307e+01;-2.567701076828960094e+00;3.560029461848981946e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.095992159108093311e+01;2.698031031369946930e+01;1.481623674471658170e+01;-2.543741228602635740e+00;4.104664711757319978e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.157965887192738919e+01;2.647274653146483203e+01;1.446063401098885848e+01;-2.516618716055696314e+00;4.647297042923437260e-02;1.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
