# 2026-06-04 04:50:12
# 715caa3a6b646b0df4842ffb094b0297
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;5.769516881890544013e+00;3.109351440559076707e+01;-2.709119161211327675e+00;3.237698072911200931e-01;5.679103828788923281e+00;1.080523841811882546e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.758639133036176805e-01;5.438307027032950991e+00;3.091582446955295538e+01;-2.594773499238295145e+00;2.624267436369327466e-01;5.750172183280040983e+00;1.164617708556363818e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
7.481061752382219820e-01;5.129122331630015630e+00;3.070853451393815803e+01;-2.511881745505284869e+00;1.858396708162068645e-01;5.825076823322743458e+00;1.347270348751348878e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.118048227603634759e+00;4.836777573197965197e+00;3.048183721725017392e+01;-2.456469873208556809e+00;1.170410119105667474e-01;5.910020635617786233e+00;3.709959919735922984e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.485538931253890471e+00;4.556356419613295294e+00;3.024432217795454747e+01;-2.424687973538914854e+00;7.470748612986656545e-02;6.136374782904321812e+00;5.999999999999997335e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.851218744555537254e+00;4.283893830031424876e+00;3.000042493907171703e+01;-2.395955810167890832e+00;9.762472379334849459e-02;6.484076899288273133e+00;5.469867004298876623e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.216556993916234841e+00;4.020552433537426751e+00;2.974719906097366362e+01;-2.353176930687674417e+00;1.364673619189840093e-01;6.785274976525020207e+00;1.480004637689126934e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.583117760454569201e+00;3.769343819092661807e+00;2.948025144889610161e+01;-2.296210803723763405e+00;1.735918968296192300e-01;6.864763635843542211e+00;1.213425412721933716e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.952462300487557645e+00;3.533915417774192935e+00;2.919566603622565282e+01;-2.225512047446077890e+00;2.139256612861338003e-01;6.929741977725583979e+00;9.764166114989002443e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.326346244326509716e+00;3.319230465223525606e+00;2.888956217377225855e+01;-2.135459456212487783e+00;2.785899061705984225e-01;6.982224349369349881e+00;7.961096300585012164e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.706476027329290712e+00;3.134805213659009659e+00;2.855716786198111734e+01;-2.012953469956949792e+00;3.377444384311341086e-01;7.025432856896959066e+00;9.935145057335349472e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
4.095173587196144105e+00;2.991848196516515124e+00;2.819571373723474395e+01;-1.887365368539796195e+00;2.708835636192706842e-01;7.080187861554893658e+00;1.379772865500513257e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
4.493254836223521842e+00;2.885662656214366351e+00;2.781205593155637956e+01;-1.803331236502230928e+00;1.645373264947380398e-01;7.157344728756211083e+00;5.999999999999987566e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
