# 2026-06-04 03:49:25
# 19c8c321b380218129eb207c3d7241f4
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;5.769516881890542237e+00;3.109351440559075996e+01;-2.708792056298765960e+00;3.238956122420233452e-01;5.655113491115829838e+00;1.030054333708093184e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.577240085420203553e-01;5.453846193484784166e+00;3.092523344181646294e+01;-2.599587774211706392e+00;2.662854725902088493e-01;5.719900255069187089e+00;1.098052706120445698e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
7.123902321646503610e-01;5.158088779868283069e+00;3.072948952117110721e+01;-2.518653599084218708e+00;1.927107923318702731e-01;5.787585277227217162e+00;1.151657852250077108e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.064536280664436951e+00;4.878342752890738154e+00;3.051559936276195373e+01;-2.462841320525347211e+00;1.267654127497331307e-01;5.857238843086772562e+00;1.516319564702342415e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.415027387609501641e+00;4.609666023865777618e+00;3.029052863759311975e+01;-2.429229745534632112e+00;7.639666229294979349e-02;5.947281724485097953e+00;4.149639297267965432e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.763321085862144866e+00;4.348738365065276668e+00;3.005982264045522001e+01;-2.404167021709363805e+00;8.895023257953380003e-02;6.185527167906900381e+00;6.000000000000007994e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.110314802146222579e+00;4.096015530252743453e+00;2.982205004341142285e+01;-2.367068486234415126e+00;1.250719427157551134e-01;6.513422367720620443e+00;5.530951442987588784e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.457209995805813119e+00;3.853914629483343290e+00;2.957360803965447005e+01;-2.317369920813958206e+00;1.612282273388692955e-01;6.801616858085821171e+00;1.508802151272095937e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.805577557308640557e+00;3.625146315851252687e+00;2.931088191498211160e+01;-2.255045709497496276e+00;1.962386287965980913e-01;6.878461116896350980e+00;1.254116072741832122e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.156578610592243095e+00;3.413345592892332192e+00;2.903098516051668909e+01;-2.179383390099883133e+00;2.448004924500282453e-01;6.942162448517000151e+00;1.045452617574341270e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
