# 2026-06-01 08:04:04
# c583b903416d649628df2178352a25ab
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-1.673727171520921209e+00;1.031118510257606502e+01;-1.754929667369994117e+00;-3.207296003878144092e-02;6.776247091587644711e+00;5.000000000000001776e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.611224795298751178e-01;-1.761829706294506526e+00;9.858557347688840622e+00;-1.769520908077074406e+00;-2.094862184657624374e-02;7.108357717613032811e+00;4.999999999999997335e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.269455353690958521e-01;-1.855265503747286049e+00;9.402201268397950784e+00;-1.774303770481516329e+00;-1.436991635442763171e-03;7.428793980178813428e+00;5.000000000000001776e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.394331518049666041e+00;-1.949321791865649134e+00;8.944376988273274875e+00;-1.772035976827267989e+00;7.931536548501238668e-03;7.736978727303486458e+00;5.000000000000008882e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.860837434915481925e+00;-2.041507930712141761e+00;8.487070213476103575e+00;-1.766925293313547085e+00;1.397734165365502323e-02;8.032801441303329071e+00;-1.860503901009659566e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.327586420552610225e+00;-2.130755950907999186e+00;8.028933327289880850e+00;-1.758989881991681603e+00;2.002339172533802378e-02;7.923958756724096553e+00;-6.677118038379653342e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.794188249252230527e+00;-2.215692308563815160e+00;7.570127179015914365e+00;-1.748286471430014588e+00;2.438336501440872828e-02;7.520506060363368661e+00;-3.773911667357025213e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.257773528226895365e+00;-2.294904740590256065e+00;7.113359512149624031e+00;-1.736718071866431234e+00;2.502189436488352903e-02;7.284157577763351377e+00;-2.479507684498061693e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.712804988783238613e+00;-2.367497876629417242e+00;6.664155920561089630e+00;-1.725304120900974958e+00;2.513126848141098574e-02;7.127583293895034977e+00;-1.991822298697939697e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.154379329061565151e+00;-2.433028502242868818e+00;6.227471097033927094e+00;-1.714188279667919756e+00;2.565297311670349661e-02;7.003097056046931002e+00;-4.413592185124916689e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.579943761055148777e+00;-2.491498524709971907e+00;5.805942518820399911e+00;-1.701555733233037548e+00;5.802182344016612592e-02;6.729549217725150356e+00;-6.582035494379733009e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.987455105399400068e+00;-2.537717070745703740e+00;5.401060632621965674e+00;-1.661255367239356184e+00;1.430937298140038672e-01;6.318411541527875208e+00;-4.213017614313651293e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.383388549122894773e+00;-2.559944674935651587e+00;5.005751607338301490e+00;-1.586914498859087086e+00;2.287936498572592514e-01;6.048650697726458247e+00;-1.194110432788485721e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.772314765697769801e+00;-2.546861189998896435e+00;4.617045517392239340e+00;-1.483232677655874632e+00;2.983523758675690751e-01;5.971376186233182004e+00;-2.475115876738434473e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.156639641472931856e+00;-2.489785225601671925e+00;4.236982437854486250e+00;-1.355806843850273058e+00;3.611860293947647405e-01;5.809891251460691741e+00;-3.062659112070299727e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.537098760608066605e+00;-2.381982038922699996e+00;3.872115867345565121e+00;-1.213696303567685097e+00;3.321144948046926282e-01;5.605747334461352871e+00;-1.785802581062120531e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.909712165123373495e+00;-2.232628120176871622e+00;3.530744872415193303e+00;-1.109764319712456260e+00;2.302516915897959704e-01;5.485761133951879032e+00;-1.283350352582408815e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.276008360354603965e+00;-2.057816109339740240e+00;3.208854109099508634e+00;-1.040510479886748607e+00;1.600209156272486555e-01;5.399389087311435631e+00;-1.579921751288146936e+00;1.000000000000000000e+00;1.000000000000000000e+00
