# 2026-06-01 10:50:55
# 89fa92054054e2e3c166ff6e09940d9f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-1.580563914363706246e+00;1.028488852107705398e+01;-1.741514055461980126e+00;-1.131295219253485584e-01;6.755564761807856478e+00;2.212160552894995913e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.415287875204764179e-01;-1.666948593156510672e+00;9.851892727241633452e+00;-1.790388423788283223e+00;-8.522184222724316083e-02;6.898631776259749770e+00;4.809215102000919728e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.884358440107493760e-01;-1.770911519687589530e+00;9.417246173076190274e+00;-1.816651683412583873e+00;-3.109295209812821398e-02;7.203448112879577536e+00;5.757321491920315282e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.335657102345140013e+00;-1.880983412520859988e+00;8.983782181129573274e+00;-1.819024057558402907e+00;7.741385570925234973e-03;7.552433901693732743e+00;5.761495700073652415e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.782314685254385633e+00;-1.989418050572640873e+00;8.550486755766105063e+00;-1.812205600243419701e+00;2.067715105763169928e-02;7.885815704549950844e+00;-1.560990477593277248e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.231755569405693862e+00;-2.094484520591975762e+00;8.113499175594327539e+00;-1.800479150290185570e+00;3.161105261170710917e-02;7.796341670637841226e+00;-4.703472196535817496e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.683427100675343624e+00;-2.193807191763943010e+00;7.672883493677835176e+00;-1.783688859847019303e+00;4.252744316721852186e-02;7.518915777340303030e+00;-3.420201932401193634e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.133633135838525874e+00;-2.284367391489644739e+00;7.231879724620252858e+00;-1.762397675157259425e+00;5.086126293184212166e-02;7.311258671654925045e+00;-2.413198648080133069e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.579293491680373140e+00;-2.364044894978980071e+00;6.793399795539355246e+00;-1.738204973014222610e+00;5.747525803507890635e-02;7.162651005557120421e+00;-3.024195048717374767e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.016088059216127881e+00;-2.431214599159998269e+00;6.361800762791387065e+00;-1.711736422690346426e+00;6.340246992609487042e-02;6.975791388115894165e+00;-2.694782345947503543e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.438655221735327672e+00;-2.484798378741301939e+00;5.942644723343891933e+00;-1.683793513090753757e+00;6.847713022539173022e-02;6.810595600345401124e+00;-2.501527823955623120e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.844864190939990323e+00;-2.524854683144469814e+00;5.538415556731838052e+00;-1.655061272751664925e+00;8.318676414810589892e-02;6.659724195027338922e+00;-3.473248015110510956e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.238766121800498610e+00;-2.550632788100623216e+00;5.145358028575327758e+00;-1.611602488042455539e+00;1.568685704468414932e-01;6.451022256574040270e+00;-3.584463249634508131e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.625141268368482272e+00;-2.552286361298590656e+00;4.758986420429607733e+00;-1.532093408418948588e+00;2.575557933851327364e-01;6.232639338829374154e+00;-3.004720096720801870e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.008073539913748817e+00;-2.516027055145536817e+00;4.377774684896562185e+00;-1.412800445699581076e+00;3.623773563836886202e-01;6.045211703814303839e+00;-2.124608950902969084e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.387479186692147870e+00;-2.428398258629875350e+00;4.008627236268575089e+00;-1.262156293394322670e+00;3.661259938800019986e-01;5.910364394654225251e+00;-1.756389778566977089e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.761795891477654585e+00;-2.292636205676096939e+00;3.659798251722772289e+00;-1.144044568018973251e+00;2.622339000875906767e-01;5.798061331956754216e+00;-1.596143185359033989e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.130893590156805573e+00;-2.125915094292198049e+00;3.330500237472514335e+00;-1.066227331289706592e+00;1.651437998385362205e-01;5.695546475640004047e+00;-1.486909116758957650e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.496662525565461088e+00;-1.941209484459347712e+00;3.014793487772327918e+00;-1.019388112098353449e+00;1.311517736326699435e-01;5.599242745836491508e+00;-1.294912789371071460e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.863209874546238431e+00;-1.741135378365199493e+00;2.707665971721644027e+00;-9.644206993288266805e-01;1.753048442997529044e-01;5.513821327046428245e+00;-8.662353282171790791e-01;1.000000000000000000e+00;1.000000000000000000e+00
8.236341999628480792e+00;-1.517635557745653951e+00;2.408876057314512487e+00;-8.894668383081654195e-01;2.270315939724485144e-01;5.454886357103514882e+00;-4.646084095272385861e-01;1.000000000000000000e+00;1.000000000000000000e+00
8.616746149854526138e+00;-1.264581267985952051e+00;2.124849924813624558e+00;-7.936366845740663312e-01;2.558965549731425093e-01;5.422389439581584369e+00;-1.418809029481746774e-02;1.000000000000000000e+00;1.000000000000000000e+00
9.002124044753644583e+00;-9.812898534793634830e-01;1.863579765124975474e+00;-6.987164664755192156e-01;2.279894458358603659e-01;5.421380975521364221e+00;9.709119825464489484e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.387768648320019338e+00;-6.759399862502555312e-01;1.628031004051959885e+00;-6.176231321823401066e-01;1.936706697081386763e-01;5.490011440330421877e+00;2.241617271039791692e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.771938984894761759e+00;-3.551228316070784152e-01;1.416694303995848392e+00;-5.493182533530456269e-01;1.652990773402523983e-01;5.644692315612352296e+00;3.973349917860899527e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.015654604315922604e+01;-2.115269291706622229e-02;1.225941752950732822e+00;-4.886063904771827948e-01;1.596717557996599479e-01;5.909222299479078622e+00;4.902338638507362845e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.054457565914633932e+01;3.270138373884831084e-01;1.054631945706369089e+00;-4.254886656790630162e-01;1.659590129646358880e-01;6.222813940922418574e+00;4.002271263788875544e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.093860797474375168e+01;6.911051306318880538e-01;9.039700861685180389e-01;-3.587483478226602407e-01;1.729094200472477416e-01;6.471279762981803074e+00;2.524931107678246356e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.133916810257809260e+01;1.070870036283319227e+00;7.765847163404931974e-01;-2.881706923718754809e-01;1.710083835062677915e-01;6.625725260324851540e+00;1.649779524774764417e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.174551517205035900e+01;1.464115008575226584e+00;6.742307587431621840e-01;-2.231345956980561318e-01;1.447918356842035625e-01;6.726143127799316446e+00;2.337852251367764200e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.215717729752280718e+01;1.867943118798276902e+00;5.943022723182744826e-01;-1.697537674916893558e-01;1.144695270777873475e-01;6.867737023890706283e+00;3.371964908440076680e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.257479379417187815e+01;2.280998317859841862e+00;5.327478995925717387e-01;-1.281900738053259603e-01;8.462697931110048366e-02;7.069808213317521073e+00;4.055692636283445118e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.299885589399434060e+01;2.702388422574302229e+00;4.852184965395918703e-01;-9.847986113846052270e-02;6.061957084090302539e-02;7.309029979706307856e+00;2.837432629108671556e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.343014242841939065e+01;3.132066521957923122e+00;4.480055191466308373e-01;-7.461610108844742018e-02;5.308840350250572382e-02;7.474584417530600433e+00;8.377305100842082908e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.386851682159738353e+01;3.569562780021901194e+00;4.202722760223579490e-01;-5.233484384807056411e-02;4.846467011013605442e-02;7.523555769900358570e+00;-1.038866323541995929e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.431179635603570688e+01;4.012452493633501760e+00;4.016860653033652584e-01;-3.190452533405897101e-02;4.364782461849506245e-02;7.462095889380830016e+00;-2.407480065944240799e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.475697142493463687e+01;4.457514367884249040e+00;3.916476362639328412e-01;-1.356514019389580550e-02;3.871839482761094825e-02;7.317060533701714498e+00;-4.133506181659058143e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.520095437887313139e+01;4.901490997047003972e+00;3.892777955037838855e-01;2.549297639567079700e-03;3.847683980369660112e-02;7.061795967354423276e+00;-5.383391330285856924e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.564189009105182393e+01;5.342396597097820887e+00;3.944308643331828623e-01;2.214053574107827799e-02;5.335199774336724793e-02;6.717254149146866915e+00;-4.871333495354099874e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.607796312701051633e+01;5.778201304419552820e+00;4.097262808509531951e-01;4.932758859482021946e-02;7.124796867203854467e-02;6.393198646316108125e+00;-3.681144798051246170e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.650708165491003854e+01;6.206388228403735496e+00;4.379870153710877512e-01;8.375884351826280716e-02;8.903816202861020157e-02;6.141147617327614938e+00;-3.970654395933949754e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.692751443873497408e+01;6.624561180050090314e+00;4.815198561486174755e-01;1.249219674731669449e-01;1.068603664522014274e-01;5.863011810940702340e+00;-6.079396619531049595e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.733549697056255567e+01;7.028083947686327271e+00;5.416789973961093629e-01;1.728833395887505453e-01;1.329871079706957393e-01;5.423498155765292594e+00;-6.320938182990990306e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.772880951185574716e+01;7.413455924480985892e+00;6.203122895813304449e-01;2.319217764963777406e-01;1.667445530769633422e-01;4.943897624887757303e+00;5.030510198784941878e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.810759804632401426e+01;7.778955837942798546e+00;7.197636199094112897e-01;3.014626201783883186e-01;1.991754051336601106e-01;5.315366675688672160e+00;-5.689967863594084463e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.847396723311376121e+01;8.124365455018358162e+00;8.419052486061685547e-01;3.803393037569558488e-01;2.429687636841791898e-01;4.907531466932445241e+00;-3.976822121659111975e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.882921970045457627e+01;8.447634554291319375e+00;9.892192160599889705e-01;4.800343283950888607e-01;3.250011380320928511e-01;4.610673850658084660e+00;2.886711545818761437e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.916400864247187030e+01;8.734824546643066512e+00;1.161281832540333792e+00;6.048369295372150178e-01;4.164577892601590836e-01;4.631587328120781777e+00;-1.308959625720151676e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.948126523502959273e+01;8.982379044979857952e+00;1.359696841737107142e+00;7.475651876717375188e-01;4.362185103974136613e-01;4.541040523570098131e+00;-2.321922398302043611e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.978369076378750790e+01;9.190700072681588395e+00;1.578930848820406130e+00;8.711936223951640690e-01;3.801512658567319236e-01;4.383677887188234479e+00;-1.574747881098243374e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.007355102980802286e+01;9.365482213357116947e+00;1.810167042177680319e+00;9.747805265948528142e-01;4.094634569096533561e-01;4.278284485534166848e+00;-7.471339831485169780e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.035569420185834488e+01;9.508131188809343826e+00;2.053592676277803175e+00;1.119058981466204861e+00;6.443814026467378220e-01;4.228725651453180134e+00;-1.816551080061329926e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.063131502327026112e+01;9.602671349278624646e+00;2.312492261550206152e+00;1.334082100371349000e+00;8.451814293928519017e-01;4.216869072557681619e+00;1.189560011771896436e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.090391875097177987e+01;9.634742725225743598e+00;2.583202843540683524e+00;1.571288283409145503e+00;8.806843225744431791e-01;4.224552103335952324e+00;4.522577066480677477e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.117512466742386579e+01;9.601706194426615326e+00;2.852389092727699804e+00;1.818546200876381747e+00;9.154362178232543501e-01;4.253486852619651870e+00;7.873411734425855846e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.144768839081674727e+01;9.502722027295796181e+00;3.106344045361446149e+00;2.059343864275989144e+00;8.086506856567809987e-01;4.303644001196694546e+00;1.044303587580163839e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.172416871123354909e+01;9.347956735883645507e+00;3.335448982348602431e+00;2.265179370937396630e+00;6.968015713929844868e-01;4.370218583783819000e+00;1.423342404217787127e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.200459653246494085e+01;9.149061925291697150e+00;3.533137164191066937e+00;2.450424005208685863e+00;6.310414144832773298e-01;4.460616559245094592e+00;1.911692782694746962e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.229053742726222964e+01;8.913617600399589946e+00;3.695396725368747859e+00;2.623809554464436200e+00;5.771499837061067062e-01;4.581524023546537094e+00;2.083396644030420131e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.258636276022246392e+01;8.645384209095221095e+00;3.820150384274572541e+00;2.781576679707464805e+00;4.497688158698137650e-01;4.714128274681451458e+00;-3.544274517220160181e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.289770261379840122e+01;8.347829266170634810e+00;3.911766760353477590e+00;2.895090854263058233e+00;2.753576112173050094e-01;4.473930885888004916e+00;1.481972907610940249e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.323267646921308938e+01;8.020191664986720426e+00;3.981488249880241970e+00;2.960893691348304380e+00;1.522610017041128305e-01;4.583546872092368218e+00;2.525300274391269806e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.359018970171158713e+01;7.667072627211158675e+00;4.037368985129400123e+00;3.005897956486865308e+00;1.035307649721946138e-01;4.776458777894107222e+00;3.725338202505062757e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.397441577385030342e+01;7.285543312486930212e+00;4.082811878052352128e+00;3.037200356866135653e+00;5.702002211344464611e-02;5.067277630720002257e+00;-5.493305953188005297e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.438368093459384056e+01;6.878159687653615073e+00;4.122010781303605320e+00;3.050716962256160958e+00;1.339942595096909640e-02;4.602267386724232523e+00;2.441465966959175837e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.481746531597947936e+01;6.446141786915741356e+00;4.161118619087901038e+00;3.051106870952764893e+00;-4.730873823507277150e-03;4.826904257099829287e+00;1.251275793361413813e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.526551471813526106e+01;6.000002185477161021e+00;4.202443221933868323e+00;3.046507085135174986e+00;-1.595222398267811745e-02;4.941687105584854578e+00;3.153093975557874074e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.571708375342396380e+01;5.550668379050741841e+00;4.247317758521070630e+00;3.036740594327309140e+00;-2.732278958822539558e-02;4.970416418213575938e+00;-4.064402042153937300e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.616571349345663222e+01;5.104841339332549133e+00;4.297386654034081488e+00;3.021918029275241668e+00;-3.867104983090815379e-02;4.933594738538535474e+00;-4.488999602724145221e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.660508109743476979e+01;4.669124830441004903e+00;4.353911120461070539e+00;3.002431722067123943e+00;-5.345008050809654104e-02;4.893454081136715317e+00;-4.872675620572688993e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.702645994185247602e+01;4.252605100013000516e+00;4.417718993697722141e+00;2.973926864141496207e+00;-8.703004820417245546e-02;4.851313673609420007e+00;-1.743373132041092788e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.742370872901635437e+01;3.862328814323537252e+00;4.491820408877246429e+00;2.931478270677489117e+00;-1.247155620323710523e-01;4.706393378713141118e+00;-3.210606069219842595e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.779386603259877120e+01;3.502388144736034992e+00;4.578186743593421149e+00;2.878642032678259355e+00;-1.609997132307482703e-01;4.446715649139190596e+00;-3.155887650730813121e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.814477218158387117e+01;3.166492568849285316e+00;4.679721405139421364e+00;2.811872926747144064e+00;-2.587539471575833194e-01;4.190279143446677068e+00;-2.696789066677989233e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.847829693166567466e+01;2.857023667088212981e+00;4.804090845758596018e+00;2.697219549669848782e+00;-4.318101828431090694e-01;3.969829656424816111e+00;-2.321407914641049786e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.879969263464408158e+01;2.578694265120108575e+00;4.964801585577255594e+00;2.529345478862123020e+00;-5.859983443890158794e-01;3.777216758908414018e+00;-1.951423148912092342e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.910738528501970634e+01;2.344997207259582606e+00;5.164952659125491508e+00;2.336354842157574829e+00;-6.434152555162513387e-01;3.614759925969131427e+00;-1.540380663751910184e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.940048367792511996e+01;2.163220522880251906e+00;5.394874178213621363e+00;2.139853977727824041e+00;-6.996298900487560868e-01;3.487624281423651773e+00;-9.660459623343441438e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.968281050766664819e+01;2.036025873435639344e+00;5.646925680777211909e+00;1.939572811608924585e+00;-6.536481872876037658e-01;3.408524862827749136e+00;-5.278807290430209687e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.995679035413033731e+01;1.958919520101625622e+00;5.909831684025134813e+00;1.778698637022712248e+00;-5.320789819101295892e-01;3.365825957818709302e+00;-2.708948191216842272e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.022441216984232781e+01;1.921290575598306294e+00;6.174794886716656883e+00;1.642650970435040936e+00;-5.750558451008624949e-01;3.344217345150521048e+00;5.023835600173868869e-03;1.000000000000000000e+00;1.000000000000000000e+00
3.048802778277565650e+01;1.924406998467648178e+00;6.438392078072547875e+00;1.466327966251654624e+00;-7.623238757869642557e-01;3.344613337085115212e+00;2.056940251066130543e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.075162440590248636e+01;1.980159127376021733e+00;6.696025305444431197e+00;1.247416239553696515e+00;-8.173089816113044970e-01;3.360785455133750155e+00;2.982494418630895483e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.101929108792821310e+01;2.091898915448989094e+00;6.939252919888329707e+00;1.034665863554768750e+00;-7.808889953700435260e-01;3.384455901984483539e+00;5.264863214605395303e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.129330874251996519e+01;2.256098942315823308e+00;7.158624810076877232e+00;8.231995547541193226e-01;-7.489151998147763889e-01;3.426817013854127403e+00;9.220609473453238447e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.157572306647105265e+01;2.468509713994663457e+00;7.344741747639126572e+00;6.175157075215358393e-01;-7.155119849255022757e-01;3.501982479198400888e+00;1.289003780034422952e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.186742808003666383e+01;2.722556636570365729e+00;7.488101351674324668e+00;4.120112807589799142e-01;-6.403945039762612979e-01;3.607755398429155047e+00;1.477583842300211225e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.216820500480567802e+01;3.007706826824998902e+00;7.583789007467814258e+00;2.457698956246512356e-01;-4.503166784529729072e-01;3.728906711523580331e+00;1.857399576450663226e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.248151278922723861e+01;3.315646207098780440e+00;7.641539382841007644e+00;1.348591415311406194e-01;-2.790595767314439368e-01;3.881832139005008120e+00;1.967844039170014048e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.281314799997939957e+01;3.645774517297059703e+00;7.673118043614720385e+00;6.058878068392057475e-02;-1.785018714772972359e-01;4.046459378361195292e+00;1.045122276341202916e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.316460240603264253e+01;3.997021119769275987e+00;7.685202073818384605e+00;1.376329613071739996e-02;-8.471734291644859860e-02;4.136237318928436046e+00;8.267832709341926822e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.354316896550612626e+01;4.375585405687673735e+00;7.686514087036584897e+00;-3.069010318643726476e-03;-3.093852994993108452e-02;4.211228342789295809e+00;1.725396196028725848e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.394693851626519887e+01;4.779339898158495359e+00;7.683026977945467628e+00;-1.405586985067055691e-02;-2.607394039412290476e-02;4.373530501667473480e+00;2.400088357282981200e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.437252347527380891e+01;5.204844369588661479e+00;7.674750376753399550e+00;-2.467865065588700085e-02;-2.399123145525902667e-02;4.601157686856468310e+00;2.779440942873897757e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.481011055422310108e+01;5.642237124546006122e+00;7.661710837873587643e+00;-3.539925477050962638e-02;-3.532651680844143410e-02;4.858307004083508573e+00;3.032994514227364657e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.525200050837992904e+01;6.083673001986959150e+00;7.641683414358373838e+00;-5.787128635435530299e-02;-6.813417891737445775e-02;5.126757899455224532e+00;3.335228941002880809e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.568217104519747096e+01;6.512632723415615388e+00;7.609430536382278731e+00;-9.466308070983703304e-02;-1.018824927656259149e-01;5.399359314543509925e+00;3.156291769011554837e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.609627782665877049e+01;6.923856948356928775e+00;7.560654894165569573e+00;-1.429629684420826718e-01;-8.498927004375923799e-02;5.636236746197243797e+00;1.062068825083174239e+00;1.000000000000000000e+00;1.000000000000000000e+00
