# 2026-05-01 19:09:17
# 8236f1ae0f7cc2126cb9bbe653d79924
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-6.751538761199846306e+00;7.351701402415273812e+00;-2.800085985157097390e+00;3.012561530791999509e-01;3.483282287177149161e+00;-1.733248561827203993e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.652928191223936638e-01;-6.997124058275094427e+00;7.251361272166358951e+00;-2.695173899763911862e+00;5.362606104060060330e-01;3.348674170137805994e+00;-1.372773148468948934e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.177307576384233556e-01;-7.215335494906223168e+00;7.124441290581103203e+00;-2.521535029146727336e+00;8.317234554856701712e-01;3.243537983506405986e+00;-9.850935505727022035e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.599532193627266397e-01;-7.395366938190565342e+00;6.962390679990651421e+00;-2.287780792662799989e+00;9.752923872374389402e-01;3.169118975480708311e+00;-6.341573866750699340e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.960319142268524439e-01;-7.529472272006494826e+00;6.768099893768383168e+00;-2.066934662290050628e+00;8.900098488125600671e-01;3.121520940884828121e+00;-3.759144264741959285e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.226848257569106870e+00;-7.618503695313692425e+00;6.555145461981242150e+00;-1.867432471996675947e+00;8.678774358524132815e-01;3.093599618199768475e+00;-2.095558556411748485e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.453803768455194545e+00;-7.662929627349697626e+00;6.332580549013592908e+00;-1.665557917781584685e+00;9.365682424968487796e-01;3.078187597462722191e+00;-4.557576077010435517e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.678213857131477527e+00;-7.659621183248753518e+00;6.108194849608911348e+00;-1.440924339783366204e+00;1.054284711550665055e+00;3.074863178117281493e+00;1.274589473628046643e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.901510127729595823e+00;-7.604095684711126069e+00;5.891912294891301194e+00;-1.202240251541798477e+00;9.982907430495703283e-01;3.084105345046187274e+00;2.956838816347193144e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.126463305556074435e+00;-7.501113826523866379e+00;5.691915622172651901e+00;-9.935261910196310220e-01;8.653702383765098372e-01;3.105597500796595245e+00;3.684971945093393209e-01;1.000000000000000000e+00;1.000000000000000000e+00
