# 2026-05-02 20:24:19
# 979ec79f8ea3f7a1edc4525332300ec3
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-6.202593657746840350e+00;7.323956064759031825e+00;-2.790840795180184131e+00;2.664216401760898245e-01;3.196033945210801974e+00;-1.570580525703051844e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.641044918373514072e-01;-6.446393187947117021e+00;7.222403262322122153e+00;-2.685628480870920765e+00;6.022435978102470555e-01;3.063500976934532272e+00;-1.194407834834663173e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.136682135610358690e-01;-6.659215389470215740e+00;7.092062318104895624e+00;-2.479722296583036556e+00;9.766129382360264621e-01;2.964603937568103031e+00;-6.901370565836194571e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.513072543894623312e-01;-6.826816034770597064e+00;6.923591734854435131e+00;-2.238812417924024523e+00;8.510086078462147929e-01;2.908757379072880234e+00;-1.569883288917580111e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.810456726901607416e-01;-6.953410903217054795e+00;6.731879763067770917e+00;-2.081531010909178026e+00;6.141609513412059629e-01;2.896331643574058479e+00;3.175132096892971378e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.204121880114127796e+00;-7.049324282181713031e+00;6.530475646788478805e+00;-1.938415119591641478e+00;7.944437853019516993e-01;2.898776106927423157e+00;-1.836947581147919395e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.422158478216473343e+00;-7.107271640558945336e+00;6.320280352433099935e+00;-1.728932109508255488e+00;1.092711622284061823e+00;2.884926092258888630e+00;-3.552136730233147466e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.638255068337476361e+00;-7.114023708511920674e+00;6.104289274283368982e+00;-1.476648874416995438e+00;1.135174321292370170e+00;2.858194820299475580e+00;-1.817557531799250115e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.855438737652046255e+00;-7.067624985852774877e+00;5.892119755377989598e+00;-1.234741606820041193e+00;1.117747896141190411e+00;2.844350341993308717e+00;6.579138387266567078e-02;1.000000000000000000e+00;1.000000000000000000e+00
2.076284353612054545e+00;-6.969439263336883350e+00;5.694300772510349162e+00;-9.879026813945850360e-01;1.048689956593706007e+00;2.849454043389696878e+00;2.523937129484458697e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.303424938204862382e+00;-6.823779572851059960e+00;5.520013366950633937e+00;-7.673708092594908603e-01;9.013497185432575165e-01;2.869502754207287953e+00;3.921746139920150864e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.536880491899209833e+00;-6.640312200769243667e+00;5.375648485722106962e+00;-5.690447478779643298e-01;7.840788302140087040e-01;2.901233658241258784e+00;9.373218053348754131e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.773457001358259788e+00;-6.430705431078157730e+00;5.265951416811875951e+00;-4.069660947818394825e-01;5.274789985754961830e-01;2.976684965125452553e+00;1.698725151855790649e+00;1.000000000000000000e+00;1.000000000000000000e+00
