# 2026-05-02 01:09:23
# bdb818b33d8f0ca5aa27ddde4f28e1e6
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-2.389248215651939677e+00;8.557033364405501885e+00;-3.129206640391886562e+00;4.330344204934613410e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.027823583498699178e-01;-2.791995647855324059e+00;8.551729210235105683e+00;-3.127846963198746888e+00;1.804916219951308845e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.050153460774749359e-01;-3.194189802762397612e+00;8.546140098064052282e+00;-3.127774350128974756e+00;-1.455558408298178062e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.206626970194479842e+00;-3.595765850027061727e+00;8.540794549524679979e+00;-3.128952569371945103e+00;-4.041278132575684516e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.607780557224351536e+00;-3.996892034183602060e+00;8.536105757468503086e+00;-3.130988432060623161e+00;-6.030619411397545454e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.008633408321501168e+00;-4.397727661290859125e+00;8.532389808835183942e+00;-3.133767406640541875e+00;-7.599576336767479602e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.408958504825508218e+00;-4.798044999074223327e+00;8.529897428249798352e+00;-3.137025566484957118e+00;-8.116879735820264549e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.808834077282848618e+00;-5.197918797954421244e+00;8.528706455032288858e+00;-3.140126248627941763e+00;-7.146278626466442789e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.208697137806319599e+00;-5.597781855561068554e+00;8.528658157412726482e+00;3.140457500117075362e+00;-5.899311324602575686e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.608921092235499284e+00;-5.998004806629162466e+00;8.529554336678449644e+00;3.138295917608042718e+00;-5.076924451146940138e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.009817875988564317e+00;-6.398897930818048252e+00;8.531267287823764534e+00;3.136379765510425077e+00;-4.521375441786919767e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.411533329075718157e+00;-6.800605941180639213e+00;8.533712622063887920e+00;3.134665259516337787e+00;-4.009407132089911480e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.814060929799244271e+00;-7.203121610469271907e+00;8.536811867353049976e+00;3.133153940005549476e+00;-3.534410548607243383e-03;7.599999999999999645e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.217394999294660884e+00;-7.606438893082660080e+00;8.540491699018524230e+00;3.131811037505215722e+00;-3.107364106153832298e-03;7.599999999999999645e+00;-1.972954700280867169e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.621388910716752285e+00;-8.010411049084794399e+00;8.544684268768422797e+00;3.130651631235835897e+00;-2.516117982814810878e-03;7.494389676761534780e+00;-8.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.025874936873039545e+00;-8.414870814584952896e+00;8.549293330197970775e+00;3.129819915139233633e+00;-1.456798654275066017e-03;7.049404244945048248e+00;-8.000000000000001776e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.430477899971899447e+00;-8.819444722087782296e+00;8.554142156475471381e+00;3.129493673286301902e+00;-8.846315644291517810e-05;6.574226403088617943e+00;-8.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.835236905904360505e+00;-9.224174487307209347e+00;8.559007341863681617e+00;3.129739742030031469e+00;1.092493175872151197e-03;6.061708398145536414e+00;-7.999999999999998224e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.238411123441047756e+00;-9.627321678107726655e+00;8.563675557365499458e+00;3.130132124174171970e+00;-1.056240304895975394e-03;5.503955052828931827e+00;-7.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
