# 2026-05-07 16:43:14
# b6e23028e27a7cbdaeb4905a3e6d20cb
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;1.273708566147365318e+01;7.256171426842075611e+00;-2.677968176618382490e+00;1.047604944314850295e+00;2.953581908903876396e+00;6.236495209184615696e-03;1.000000000000000000e+00;1.000000000000000000e+00
1.895790934903407443e-01;1.257750405509987601e+01;7.153829140392220509e+00;-2.452247734331144624e+00;1.408160097480075645e+00;2.953982178487354116e+00;3.434866544816597145e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.777525599163806258e-01;1.245148612595418847e+01;7.014083890023471213e+00;-2.156166541589791041e+00;1.303811392867888941e+00;2.975782394549488785e+00;5.930046576654833534e-02;1.000000000000000000e+00;1.000000000000000000e+00
5.673229583218124539e-01;1.236278637978227657e+01;6.846544966245644126e+00;-1.989018203501717874e+00;4.323640803410076505e-01;2.979557699651522729e+00;1.629403244065536494e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.592144838923629013e-01;1.228727928331488961e+01;6.670133413424243152e+00;-1.988070181380350743e+00;-2.079741257902957274e-01;2.990033080152683098e+00;5.666608129323834619e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.542387482411361921e-01;1.220338940351153845e+01;6.494073901464907372e+00;-2.029457603845205238e+00;3.120092346657680517e-03;3.026767754017835710e+00;1.048843014983976696e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.155413216502868989e+00;1.211696627598883325e+01;6.312408798295407131e+00;-1.985199148306330486e+00;3.721490426514388328e-01;3.095694414573415543e+00;1.472249252447734635e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.365807203296813377e+00;1.204138681974402125e+01;6.116058663401669371e+00;-1.897435398520417094e+00;3.185677301659763927e-01;3.194186702116018850e+00;1.886702220468441826e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.588930004590618061e+00;1.197579603722718744e+01;5.902794428927100157e+00;-1.848417894485776314e+00;1.414297860836352672e-01;3.323365952953590607e+00;2.502395933972774600e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.831310841589022687e+00;1.191220776432077422e+01;5.668903425053871459e+00;-1.822656200605906829e+00;1.329086031702129411e-01;3.501117949913509886e+00;3.320544473845516986e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.110538831759309453e+00;1.184833520564746046e+01;5.397078910443688038e+00;-1.777856325547994221e+00;1.460936772660368921e-01;3.756621463311475395e+00;4.994882904031539894e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.421904270604350096e+00;1.179025100595878861e+01;5.091179151938240111e+00;-1.746603063765344910e+00;3.424726133351144175e-02;4.150020799152601469e+00;4.999999999999996447e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.742070452371707212e+00;1.173393003572835447e+01;4.776005656447596337e+00;-1.750546655891932257e+00;-1.898472361825678453e-02;4.519328982390280025e+00;5.000000000000007994e+00;1.000000000000000000e+00;1.000000000000000000e+00
