# 2026-04-22 19:05:27
# 2ad845a79b805b2df116adae05ea9de9
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;2.321091078913732897e+00;5.160718165279330805e+00;-2.984636667526866738e+00;1.100611423595072802e+00;3.378333205590461130e+00;1.125329705996010565e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.222407361557920347e-01;2.201879147709098206e+00;5.133675365232527099e+00;-2.856867988468684505e+00;9.376036978024638868e-01;3.418809370431903361e+00;1.035018378430933916e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.453949213218982184e-01;2.085700259261429768e+00;5.092816838546022851e+00;-2.754025923686582278e+00;7.406112314660403539e-01;3.455892243894215898e+00;8.626449772840946162e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.701903710640516709e-01;1.972266809630804696e+00;5.040790337786863695e+00;-2.672569632964965525e+00;5.736362698819289507e-01;3.486904004589767236e+00;9.195039618668111592e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.974186731699489217e-01;1.860755680006125790e+00;4.979534245627981193e+00;-2.608915283001623120e+00;4.346140382549690817e-01;3.520294503719834545e+00;1.219574920355133818e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.282782776022560745e-01;1.749774395059841448e+00;4.910198897760882808e+00;-2.559287806964334333e+00;3.498833456255449614e-01;3.565341438940532459e+00;1.885830004781473335e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.650877580411981072e-01;1.637267683083930780e+00;4.832358845741740794e+00;-2.514349471125855384e+00;3.058021987455809554e-01;3.636984798226023496e+00;2.763806943453308573e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.090238989401422387e-01;1.522523979326208199e+00;4.745459506821121387e+00;-2.473676517738228053e+00;2.558120384652927681e-01;3.744767260296417710e+00;3.960698830744377119e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.061526196103010911e+00;1.404529217245519712e+00;4.648845911703904044e+00;-2.438767544341131632e+00;1.990302227711511218e-01;3.902731501641580891e+00;5.000000000000002665e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.220770666644937164e+00;1.284506591534120501e+00;4.544187559359144757e+00;-2.411817479167429834e+00;1.372490789077207840e-01;4.101677447011748079e+00;4.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.384649600368862865e+00;1.163409442212548051e+00;4.433771141446410269e+00;-2.394590604259283939e+00;7.164157242239034551e-02;4.296806630110793002e+00;4.999999999999989342e+00;1.000000000000000000e+00;1.000000000000000000e+00
