# 2026-04-22 20:45:37
# 91469a2c6e3ba752e41f0b718194c6e0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;2.435824638725931024e+00;5.380320604386042760e+00;3.136731956261113119e+00;4.007968216288568253e-01;3.185898760066426139e+00;4.005199996136659668e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.338670484358755464e-01;2.301992581504854751e+00;5.377260029781885109e+00;-3.088205321836710926e+00;4.980353930068668333e-01;3.202683838559221563e+00;1.427619510440985007e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.672887694460782115e-01;2.169104120085972198e+00;5.365343131735559545e+00;-3.013298493739803519e+00;6.210373401859745623e-01;3.261615347313350455e+00;2.407461149793280075e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.000989675817020474e-01;2.038256573826594753e+00;5.342595200692852764e+00;-2.924128146306394616e+00;6.919296050629634154e-01;3.358214623642406860e+00;3.050160571223061279e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.329262491270088109e-01;1.910033448976780734e+00;5.307926526410942536e+00;-2.830322280579327110e+00;7.212387615811269859e-01;3.476764952128658326e+00;3.233856409588235170e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.669299768178907906e-01;1.784635155250066330e+00;5.260679653863855165e+00;-2.731408346241295249e+00;7.474994598675505086e-01;3.599248832708561441e+00;3.434956480300422665e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.029926805864757711e-01;1.662794798192665402e+00;5.200115747542162659e+00;-2.629383005603032952e+00;7.468712792272819145e-01;3.726839289777349240e+00;3.668551200091529907e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.419092710447301009e-01;1.545395921256249583e+00;5.125850528235850412e+00;-2.525643726187958293e+00;7.439763074023700851e-01;3.861162563413335747e+00;3.504153211706501736e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.083586150080140698e+00;1.434211399378785057e+00;5.038041985666838585e+00;-2.423681243464494983e+00;6.144382177486409358e-01;3.987667403695751567e+00;3.431808206350589696e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.228863475060201216e+00;1.328574386428694076e+00;4.938310733552246035e+00;-2.352649898419009400e+00;3.535296936068976215e-01;4.110793008000291238e+00;3.542447035402783939e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.379544331789223977e+00;1.224567831127858053e+00;4.829281576722311620e+00;-2.319365175652874811e+00;1.200855691428808908e-01;4.238652741502591859e+00;3.440140133101326381e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.536295719556646455e+00;1.118483132752170484e+00;4.713882121188274432e+00;-2.310718843646291543e+00;2.020396680660896394e-02;4.364019998006828160e+00;4.113766263713569238e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.701253877495101818e+00;1.007239596740342913e+00;4.592078715792392352e+00;-2.313072829281638043e+00;-4.945680472474346667e-02;4.516842830241785123e+00;4.999999999999988454e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.876046711122855148e+00;8.882836368525722781e-01;4.464008366785299664e+00;-2.326374034712209049e+00;-7.494675641684242495e-02;4.706357135766913835e+00;4.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.061612233156087104e+00;7.601718075279796372e-01;4.329762613949046823e+00;-2.338515739902402579e+00;-5.300343617816837688e-02;4.899535968815461828e+00;4.999999999999998224e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.255620516766895456e+00;6.248261417904799053e-01;4.190763459722537831e+00;-2.346427955205448335e+00;-2.744338121362837127e-02;5.093676034635943317e+00;4.999999999999986677e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.452945581985711332e+00;4.864094309960748652e-01;4.050129198120082208e+00;-2.349088705569472246e+00;1.432116640755652735e-03;5.283823066493871679e+00;4.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.650650065739567740e+00;3.477664336527583888e-01;3.909185300827436205e+00;-2.345857126019204930e+00;3.020872326369713687e-02;5.467708023985119681e+00;5.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.848170417845227398e+00;2.100956232153257108e-01;3.767548309015818386e+00;-2.338051867452350496e+00;3.172868458461863134e-02;5.645443698825439505e+00;5.000000000000011546e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.044389139248754539e+00;7.421360015054483117e-02;3.625993152143815568e+00;-2.334387989918069728e+00;4.449817279242948218e-03;5.816633198908379931e+00;5.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.236957341570696478e+00;-5.902020884370075271e-02;3.486956233714251230e+00;-2.336287877069528562e+00;-2.974152293558891130e-02;5.979874897843813208e+00;4.999999999999994671e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.423025882447622514e+00;-1.885114377425355092e-01;3.353339155680274519e+00;-2.346705669363942093e+00;-8.683810883932464864e-02;6.133481002060070963e+00;4.999999999999998224e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.602246634347727738e+00;-3.152625553135135483e-01;3.226633859397336046e+00;-2.367855369648217412e+00;-1.494394512073672077e-01;6.277881547276347618e+00;4.999999999999992895e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.777117424440305182e+00;-4.421646116754661127e-01;3.106319016926799126e+00;-2.400606350385281473e+00;-2.434237721712790570e-01;6.415645300556962916e+00;4.999999999999987566e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.949440545164970562e+00;-5.721152244397891273e-01;2.993146157201224788e+00;-2.453185855204943699e+00;-3.679342938390959827e-01;6.548567463942422506e+00;5.000000000000001776e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.120100861017522043e+00;-7.076242276463505787e-01;2.889404875847769283e+00;-2.526698923258102969e+00;-4.417156854843841129e-01;6.677599792465164441e+00;4.999999999999989342e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.290373502266336736e+00;-8.502303398146424662e-01;2.796365802711306969e+00;-2.596703811359416303e+00;-3.472399762088523856e-01;6.803900748895367556e+00;2.057535001614535730e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.461409610756390087e+00;-9.987599644888668360e-01;2.711558367886549803e+00;-2.645284005325867493e+00;-2.233822736729481617e-01;6.855427846628932009e+00;-2.368922238164319349e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.634069981918179870e+00;-1.151875525297518577e+00;2.631763450705197016e+00;-2.674561743779371170e+00;-1.321829474354311307e-01;6.795502407809570045e+00;-1.390407334091313452e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.809257675310760760e+00;-1.309052462702868125e+00;2.554393312640903080e+00;-2.691813431242227495e+00;-6.439426934594397189e-02;6.759562742298831139e+00;-1.525985218273554267e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.988617720870072603e+00;-1.470866547763399312e+00;2.477022595834984298e+00;-2.697337535363311556e+00;-1.379232120916752159e-02;6.718949836881484394e+00;7.777482616897873902e-01;1.000000000000000000e+00;1.000000000000000000e+00
5.173907664013652763e+00;-1.638230902858855753e+00;2.397514510248464958e+00;-2.699334599822456937e+00;-1.871393287852323589e-02;6.740363845736131232e+00;3.814188854722337485e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.364433858354363593e+00;-1.810611362926947132e+00;2.316365217480951699e+00;-2.704397997397669506e+00;-3.471825234898912038e-02;6.847328716140387961e+00;5.000000000000018652e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.557804571086651713e+00;-1.986110403292183024e+00;2.235172118183816448e+00;-2.712710867869340348e+00;-5.185049382561966042e-02;6.987103668488371611e+00;5.000000000000018652e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.752147064996772308e+00;-2.163302709210342734e+00;2.155347988607537513e+00;-2.724528284008736811e+00;-6.980781509050591749e-02;7.124818777576372497e+00;4.999999999999991118e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.946241246740227027e+00;-2.341333195593092498e+00;2.078032418991950347e+00;-2.739808572855129132e+00;-8.280835204145785278e-02;7.259750989582178349e+00;4.999999999999993783e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.139746095734190057e+00;-2.520037237883570480e+00;2.003809835816616314e+00;-2.755889831625502495e+00;-8.047585244999709564e-02;7.391822029829928198e+00;4.999999999999990230e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.333298430577293914e+00;-2.699919674478151510e+00;1.932361845445903503e+00;-2.770958869924024626e+00;-7.458097357539965333e-02;7.521605963430288533e+00;5.000000000000010658e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.527487406528713620e+00;-2.881411365045114525e+00;1.863295756543992709e+00;-2.784426772791769533e+00;-5.890844005132533229e-02;7.649604305362746715e+00;5.000000000000010658e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.722445593548741272e+00;-3.064404761688539480e+00;1.796049110002783333e+00;-2.793672439739905755e+00;-3.569019505682526766e-02;7.775990477027640679e+00;4.999999999999981348e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.918132253025261136e+00;-3.248547992221919589e+00;1.729833255815058646e+00;-2.798368604456434650e+00;-1.319900295090500712e-02;7.900816065039721892e+00;4.999999999999989342e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.114280670101682524e+00;-3.433296756990932508e+00;1.663938677601751515e+00;-2.798976605247417204e+00;6.517295212561215363e-03;8.023987703402465144e+00;4.999999999999947597e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.310416578671452115e+00;-3.617949360547799920e+00;1.597812203099026496e+00;-2.795812083617648103e+00;2.585419448292202577e-02;8.145289298118983723e+00;-7.446896480055841039e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.506314255819471093e+00;-3.802040600880820964e+00;1.530832242329858150e+00;-2.788780997111735882e+00;4.668464472313337693e-02;7.964174678222612158e+00;-7.999999999999972466e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.701709620217482843e+00;-3.985041943858568914e+00;1.462349712465866203e+00;-2.777519491852561639e+00;6.856227909034411094e-02;7.765420302525424923e+00;-8.000000000000005329e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.896631976456139235e+00;-4.166669845022842544e+00;1.391596405261957825e+00;-2.762074649510109836e+00;8.350448020026905727e-02;7.561943848975311688e+00;-8.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.091345830251908566e+00;-4.346929697257143843e+00;1.317976635278154784e+00;-2.745837915739755442e+00;8.037864138019167048e-02;7.353065558957246672e+00;-7.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.285121022558831427e+00;-4.525154844075126803e+00;1.241919931462560411e+00;-2.730844759012328815e+00;7.184256260443175335e-02;7.139129501375674813e+00;-8.000000000000026645e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.477814582824864331e+00;-4.701318144735085802e+00;1.163834723717508624e+00;-2.719320475816020988e+00;3.313816806180019947e-02;6.919831867405158654e+00;-8.000000000000015987e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.669533351240600538e+00;-4.876091886682095478e+00;1.085029741078804566e+00;-2.718537477292577442e+00;-2.512198977161524474e-02;6.694518113987308894e+00;-8.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.860797911030521945e+00;-5.050827751672291477e+00;1.007251149437142557e+00;-2.728821160380310751e+00;-7.248143345195635912e-02;6.461914563182141968e+00;-7.999999999999992895e+00;1.000000000000000000e+00;1.000000000000000000e+00
