# 2026-04-23 01:10:37
# 14796fb913996820623fcd5341ca23da
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;2.435824638725931024e+00;5.380320604386043648e+00;3.136087620939901566e+00;4.024721110594694506e-01;2.612744773415986987e+00;3.670566650166719458e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.336352376869706093e-01;2.302222767512928758e+00;5.377334509940537188e+00;-3.088504981201256161e+00;5.034140962571891365e-01;2.631451816081901374e+00;7.806598634400363501e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.665098569842299092e-01;2.169879283525875557e+00;5.365465782141813911e+00;-3.012913172318365085e+00;6.256820068943717006e-01;2.670580166306794734e+00;1.527619460808101515e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.990514496989481241e-01;2.039304751430810470e+00;5.342715719119723872e+00;-2.924416436255355745e+00;6.827176123794045370e-01;2.745349642115961331e+00;2.336696041039955318e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.322951747714759207e-01;1.910651642399528560e+00;5.308041985432846666e+00;-2.831617508724047827e+00;7.113339850174581480e-01;2.856509203067096880e+00;2.415177981203864288e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.674856457625805151e-01;1.784068719153023341e+00;5.260573817265473018e+00;-2.733329214151166919e+00;7.441826571273837398e-01;2.968612963122611692e+00;2.317164121926299725e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.048831696480891473e-01;1.660967898708719304e+00;5.199547039734555121e+00;-2.628340596877285940e+00;7.893783846055840714e-01;3.073988963935563312e+00;2.250216941615426958e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.444079943106222785e-01;1.543471074429838108e+00;5.124302950388691436e+00;-2.514577941286126439e+00;7.701456856830014575e-01;3.174481122775932640e+00;2.176453435932495406e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.086888205362675164e+00;1.432524621828698885e+00;5.034907787227250076e+00;-2.418488209358371499e+00;5.375917593701290409e-01;3.270708407769485238e+00;2.022352068466615194e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.234355354899733470e+00;1.325249227765347593e+00;4.933722066786380367e+00;-2.358983035821086371e+00;2.711152608895706639e-01;3.360653876621079839e+00;1.822442479834558204e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.387185430470083913e+00;1.218432611934771703e+00;4.824418624108017362e+00;-2.334334273972320961e+00;1.182933383891900947e-01;3.442534316790430537e+00;1.746300807161820234e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.547103597854621704e+00;1.108796660747385365e+00;4.707997928066179227e+00;-2.319020895761614742e+00;7.674812365371511125e-02;3.522722380751380111e+00;2.416604580149835257e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.714766745190605457e+00;9.953943526199564573e-01;4.584503606391134412e+00;-2.309307995283837567e+00;3.755600649857231826e-02;3.635921345600812149e+00;3.429979076764994250e+00;1.000000000000000000e+00;1.000000000000000000e+00
