# 2026-04-16 11:25:43
# 5190b2e93e6ecb82bbbb54f478c7525b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;7.668109000000000286e+00;4.110960999999999643e+00;-2.936449000000000087e+00;9.327411514776282608e-01;1.755067765767500232e+00;3.878944519327392482e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.095185189317316315e-01;7.562238999999999933e+00;4.082927999999999891e+00;-2.822607999999999784e+00;1.245959886597592270e+00;1.779108235659411452e+00;6.708918905098325558e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.246211808992118475e-01;7.456172999999999718e+00;4.038222000000000200e+00;-2.653982000000000063e+00;1.629050028542645912e+00;1.821995883412280914e+00;8.329574458654703806e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.469135995113235005e-01;7.354729999999999990e+00;3.969923000000000091e+00;-2.441663000000000139e+00;1.706880859801059636e+00;1.877071591730855804e+00;8.402355280538433835e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.757432745128543639e-01;7.265649999999999942e+00;3.876853999999999800e+00;-2.229759000000000047e+00;1.595950169214883418e+00;1.933880115335705474e+00;9.467935429223053312e-01;1.000000000000000000e+00;1.000000000000000000e+00
6.114013180340551745e-01;7.194505999999999624e+00;3.761347999999999914e+00;-2.023392999999999997e+00;1.255508332817516726e+00;1.999192992132958979e+00;1.377144828494685225e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.547545276563021321e-01;7.141776000000000124e+00;3.628045000000000186e+00;-1.886384000000000061e+00;6.703268651501937958e-01;2.095616587630551475e+00;1.696164891928306107e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.077783929453480116e-01;7.099884000000000306e+00;3.480866999999999933e+00;-1.814152999999999905e+00;4.267939316206391664e-01;2.216013605150746635e+00;2.584888386050032238e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.080967698922939979e+00;7.064174999999999649e+00;3.311399000000000203e+00;-1.744647999999999977e+00;3.591190507505085394e-01;2.409578043855872931e+00;3.427996132153122044e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.301630436008294200e+00;7.034051999999999971e+00;3.092801999999999829e+00;-1.674797000000000091e+00;2.410393039754983036e-01;2.705351801136060441e+00;4.110986807430640155e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.594482574141174780e+00;7.012096999999999802e+00;2.800774000000000097e+00;-1.627814000000000094e+00;2.797405127853680451e-02;3.118773945109581280e+00;4.749024228661686386e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.918617077858381759e+00;6.990586999999999662e+00;2.477354000000000056e+00;-1.666125999999999996e+00;-2.778122320711855497e-01;3.578462818542464063e+00;2.376467679726843141e+00;1.000000000000000000e+00;1.000000000000000000e+00
