# 2026-04-16 16:13:21
# 35c9d594ed85a9adde4b0c52baff0c44
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;7.701634999999999565e+00;4.481958999999999804e+00;-2.878601000000000187e+00;1.186541173412499983e+00;2.101807700000000168e+00;1.204273137253952519e-01;1.000000000000000000e+00;1.000000000000000000e+00
8.772351201359847306e-02;7.618230999999999753e+00;4.454771000000000036e+00;-2.775491000000000152e+00;1.134132980140357017e+00;2.106828000000000145e+00;1.360189234908043276e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.757122006559460048e-01;7.537703999999999738e+00;4.419311000000000433e+00;-2.679336000000000162e+00;1.049773866511306109e+00;2.112500999999999962e+00;1.618101048481430382e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.640924193137427767e-01;7.460459000000000174e+00;4.376365999999999978e+00;-2.590269000000000155e+00;9.667614009276846998e-01;2.119259800000000027e+00;1.941322772143031783e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.529618201781575815e-01;7.386768000000000001e+00;4.326692999999999678e+00;-2.507829999999999782e+00;8.910272052223497941e-01;2.127384999999999859e+00;2.478372916005682491e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.424032124582422676e-01;7.316804999999999559e+00;4.270971000000000295e+00;-2.431178000000000061e+00;8.263186322081864654e-01;2.137779399999999885e+00;4.087508764168610309e-01;1.000000000000000000e+00;1.000000000000000000e+00
5.325070409063163979e-01;7.250678999999999874e+00;4.209766000000000119e+00;-2.359243999999999897e+00;7.743190701643887230e-01;2.154938699999999763e+00;6.592469203019143409e-01;1.000000000000000000e+00;1.000000000000000000e+00
6.237559321050588634e-01;7.188227000000000366e+00;4.143237000000000059e+00;-2.290553000000000061e+00;7.371312786058596966e-01;2.182675399999999932e+00;9.890241640453888428e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.167166481522152521e-01;7.129349000000000380e+00;4.071298999999999779e+00;-2.223092999999999986e+00;7.171312899000664709e-01;2.224399399999999805e+00;1.409989244150824161e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.120952181981119233e-01;7.074059000000000097e+00;3.993580999999999825e+00;-2.155418000000000056e+00;7.031704177282234181e-01;2.284057400000000015e+00;1.885172803547282561e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.108365395838416978e-01;7.022440999999999711e+00;3.909406000000000159e+00;-2.086500000000000021e+00;6.942956753476968723e-01;2.364150399999999763e+00;2.237325062750452620e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.013709556842984805e+00;6.974929000000000379e+00;3.818162000000000056e+00;-2.015280000000000182e+00;6.925301403755874663e-01;2.459578800000000065e+00;2.600341173756251845e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.121258610121012467e+00;6.932335000000000136e+00;3.719406999999999908e+00;-1.940609000000000028e+00;6.991432526340375375e-01;2.570769600000000210e+00;2.608908486586055453e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.233989908193020790e+00;6.895786000000000193e+00;3.612765000000000004e+00;-1.861004000000000103e+00;7.056151124159650845e-01;2.682735099999999928e+00;2.349268923669816100e+00;1.000000000000000000e+00;1.000000000000000000e+00
