# 2026-04-17 00:06:22
# b78bcefad207cd39160e0ad670c7d660
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;7.782385766806726224e+00;4.441583508403361691e+00;-2.875871966601347474e+00;1.155358605527746052e+00;2.236767513847867761e+00;-9.278737948521224022e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.282594535592446461e-01;7.661381573907318554e+00;4.399057366701121907e+00;-2.738388070841092148e+00;9.013617947579491974e-01;2.182913589495887319e+00;-2.539068117102087352e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.565179039796551264e-01;7.546095031873835346e+00;4.342850220089620628e+00;-2.644981478366950078e+00;5.879975597030849821e-01;2.167943807104681930e+00;4.390313833438335145e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.874417303924444500e-01;7.433123112976389280e+00;4.276680787092238312e+00;-2.574377085860647174e+00;7.131741907983928375e-01;2.194297082896683015e+00;9.659345773562414417e-01;1.000000000000000000e+00;1.000000000000000000e+00
5.220758363318022122e-01;7.323906753486800092e+00;4.197952588192917389e+00;-2.448694000537761539e+00;1.200482470584646855e+00;2.252783869891967772e+00;1.632165143827260412e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.637318173720547776e-01;7.224264441025449734e+00;4.097265813828897763e+00;-2.239964359174109632e+00;1.540556103039246727e+00;2.353178079487938223e+00;2.325566550218047368e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.150821157230747627e-01;7.144639473283078246e+00;3.968553820126022202e+00;-2.022316346968644485e+00;1.182372327217964258e+00;2.498278898802903658e+00;1.600987137739236621e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.832358393549164299e-01;7.084643175754035127e+00;3.811467477454037134e+00;-1.861252687106977888e+00;7.611159892392798110e-01;2.603809008663831026e+00;9.280487152216267965e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.164574364209477686e+00;7.042996073704309801e+00;3.634976176004679260e+00;-1.750235916412289816e+00;5.125323154241144818e-01;2.667658771961257447e+00;1.156176353726608763e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.355275559337732361e+00;7.017073325371041115e+00;3.446045085545235143e+00;-1.670528772524009664e+00;3.029211157048059544e-01;2.749067432510746478e+00;1.569570000615657213e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.576629344234907082e+00;7.000722301331096631e+00;3.225296037753064837e+00;-1.627733932475521783e+00;1.563030642236701018e-01;2.872669885156646785e+00;3.132042352110349093e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.873682561941137692e+00;6.990797112942876979e+00;2.928408677319711995e+00;-1.572071335910857570e+00;2.772487658074043182e-01;3.180094147420645445e+00;3.913823840318571445e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.187911643655745753e+00;7.006924333478319333e+00;2.614593718222783192e+00;-1.460517026880016500e+00;2.458203697596505477e-01;3.545796571876499215e+00;2.987816452261848443e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.476293156329861134e+00;7.043001170110763098e+00;2.328477730010297897e+00;-1.460505039727002519e+00;-3.109991028679853220e-01;3.780996612709788707e+00;-2.112169347151899579e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.753278385256664684e+00;7.053382099693443763e+00;2.051687099127254665e+00;-1.628489573668108870e+00;-6.539771177119891865e-01;3.765491660234063787e+00;-2.846225561417588867e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.032379154499269092e+00;7.013165133989217814e+00;1.775499056190275482e+00;-1.789221752762460538e+00;-4.469032351785401369e-01;3.548261539970392509e+00;-2.989807093993729126e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.288940707096956739e+00;6.946126599900410703e+00;1.527850787029031654e+00;-1.871352704717437643e+00;-2.334971812228436028e-01;3.325059526689384981e+00;-1.704843461236190905e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.520350598645608287e+00;6.873037964044994119e+00;1.308286242497468166e+00;-1.916833391739303005e+00;-2.908428982906255400e-01;3.204213721817514404e+00;-1.588854248920980705e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.750671206650221023e+00;6.785792246544740003e+00;1.095129569485619125e+00;-2.011590605401108789e+00;-5.408461308037176840e-01;3.087894723237705197e+00;-1.356499616061901836e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.978256052554346223e+00;6.674212530018486689e+00;8.967742596370409380e-01;-2.164594594638405756e+00;-7.394618027073465161e-01;2.986244516046594022e+00;-1.027135365163582281e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.192623691281919029e+00;6.540088417129033438e+00;7.295492409488905095e-01;-2.324909310623767045e+00;-6.969000917697772968e-01;2.978862097016512944e+00;-2.342713742655617715e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.390370820985271649e+00;6.395544198905655620e+00;5.946014870435103461e-01;-2.453511854456252195e+00;-6.182010727363475011e-01;2.963269547202256771e+00;-2.167163964898517481e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.579991769163518356e+00;6.242467128004731691e+00;4.826929781962786548e-01;-2.567078710262703733e+00;-6.125263080981071528e-01;2.949369165126656256e+00;5.877637469033282214e-01;1.000000000000000000e+00;1.000000000000000000e+00
4.772970671575080814e+00;6.074426443947775311e+00;3.878078619891439094e-01;-2.689834676275932424e+00;-6.671682709774934272e-01;2.987579367600019520e+00;2.215633091135980948e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.980510973509392869e+00;5.881715643288855766e+00;3.107655084660106426e-01;-2.835147820930841167e+00;-6.812734556803362596e-01;3.137721593629581474e+00;3.450733556612081809e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.210061524896464569e+00;5.658277706919170313e+00;2.581447498914213323e-01;-2.977366706900101523e+00;-5.052283104778118039e-01;3.380759142611273305e+00;4.032715734647496220e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.470729705211970106e+00;5.399110730655692691e+00;2.302094918213256347e-01;-3.081273741761801688e+00;-2.862744005948194004e-01;3.678577676889568160e+00;4.299501076022629320e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.786257581949219464e+00;5.083680467550393267e+00;2.223615547905740397e-01;3.136999238040822924e+00;-1.475302700387863541e-01;4.030528329636715590e+00;4.468349939563114326e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.229274486135612854e+00;4.640877613749555763e+00;2.361314516939750918e-01;3.092725433754338393e+00;-2.751030078815890068e-02;4.494915764516344225e+00;4.999999999999993783e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.833708804951372784e+00;4.037068717155385400e+00;2.636207615434881246e-01;3.110801286019439171e+00;4.890167424943481222e-02;5.123339820688761037e+00;5.000000000000005329e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.515651257559395226e+00;3.355193483824547407e+00;2.731954594008850767e-01;3.141161485696941202e+00;3.014504301220087557e-02;5.750481322840322207e+00;5.000000000000002665e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.246825988077134184e+00;2.624038016354684366e+00;2.678880177747416380e-01;-3.129749923048982918e+00;1.280306679120303548e-02;6.354508851950146919e+00;4.999999999999998224e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.000669505331268638e+00;1.870300439762637934e+00;2.552502118246038343e-01;-3.118415899085472454e+00;2.087011880963528590e-02;6.922298601046773747e+00;3.146711523904505370e+00;1.000000000000000000e+00;1.000000000000000000e+00
