# 2026-04-18 20:28:05
# de1726600a6cbf5195bf30558b151a0c
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;7.510796492510046107e+00;4.043779685787358247e+00;-2.589020774033304662e+00;1.897332004434775898e+00;1.950288285580102698e+00;6.148625860750648320e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.274379197755264870e-01;7.411043070694376844e+00;3.964472194131281491e+00;-2.361505339998547282e+00;1.526324619398663041e+00;1.990059801791240091e+00;6.054802779642732835e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.577459823779020831e-01;7.326890250938983939e+00;3.864981018108475386e+00;-2.194426797184046762e+00;1.066111479356358638e+00;2.029319082509287053e+00;6.902620675309014686e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.907370558271938132e-01;7.256066952730014563e+00;3.752416876180424854e+00;-2.077960692977787627e+00;7.198932745670318933e-01;2.074062035060875164e+00;1.639850819900408707e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.277478044101638899e-01;7.194704617271494129e+00;3.629915410824528621e+00;-1.998056563838183752e+00;4.650329188297677163e-01;2.179698993457299228e+00;3.671424749852643998e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.734350581434989103e-01;7.138154901039118982e+00;3.495651098759114284e+00;-1.945441906581938385e+00;3.461011854700237755e-01;2.412643214457541596e+00;4.677904596796963688e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.405563931717088266e-01;7.081714617809097945e+00;3.338348730529878239e+00;-1.880121498709512950e+00;4.985579917905006986e-01;2.717425730902435443e+00;4.665353881660351476e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.051608608397552658e+00;7.029461254229357081e+00;3.133867377966033541e+00;-1.753869679909938251e+00;6.545407728341728903e-01;3.058376880968800560e+00;4.095237627498125477e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.308320024033571061e+00;7.004612695113732634e+00;2.878361409292646389e+00;-1.596980753823437960e+00;4.075140511590668591e-01;3.384709388335476632e+00;2.741319615925061903e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.581678228693101929e+00;7.007649818380188300e+00;2.605020077004705836e+00;-1.540910937018157512e+00;-2.539171396001474023e-03;3.599302996512071307e+00;-4.207557879756403385e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.873870891354473933e+00;7.010686413628798519e+00;2.312843193589130930e+00;-1.598804447492980119e+00;-2.915255404357398605e-01;3.564982265406547945e+00;-1.981013729249779365e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.220007534173896069e+00;6.982098245137332349e+00;1.967889150092603900e+00;-1.704020294365819366e+00;-2.677219376510428517e-01;3.367149487239881722e+00;-1.470647117187616759e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.547153375789975360e+00;6.925834439793608688e+00;1.645617857708475462e+00;-1.779178575322553746e+00;-1.999257404342248134e-01;3.221096628739130274e+00;-1.014703566239501642e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.818169028557627076e+00;6.863350884274628250e+00;1.381903449048685228e+00;-1.830506362472007487e+00;-2.741100554495931041e-01;3.134559361845691061e+00;-2.302884484736996029e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.053015800164332827e+00;6.793502277019855207e+00;1.157684408379386465e+00;-1.925641618385261822e+00;-5.309593184077046057e-01;2.956993814617669081e+00;-3.189834101888879392e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.258050140848316456e+00;6.710114937294056503e+00;9.703728165513043624e-01;-2.061943558764097961e+00;-7.662537672633061847e-01;2.726859247512237960e+00;-1.177964141832342326e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.441829830018063863e+00;6.611260056323384759e+00;8.154448117890815695e-01;-2.217467411099840913e+00;-8.596593277589849036e-01;2.646278441144260363e+00;-4.729614875109582339e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.614502105220585015e+00;6.497233033854979745e+00;6.857777274129567280e-01;-2.367637454913944506e+00;-8.927094112975801909e-01;2.615235154972019860e+00;-9.885572122011015983e-02;1.000000000000000000e+00;1.000000000000000000e+00
3.783540431367358625e+00;6.367599416784292643e+00;5.772923319365446115e-01;-2.524180985653176723e+00;-9.633087947704372933e-01;2.608837692251352980e+00;6.850129498371959613e-01;1.000000000000000000e+00;1.000000000000000000e+00
3.955419615040172587e+00;6.219512198920877033e+00;4.900419469201670597e-01;-2.692010217801269256e+00;-8.906761327771366421e-01;2.653584940746764875e+00;1.735582972499905674e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.138350700302433793e+00;6.049243331250271360e+00;4.231667298558569601e-01;-2.835416030709632995e+00;-6.585918956328798979e-01;2.770649236406916849e+00;2.843890557930341512e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.342367959101363084e+00;5.851405173844256069e+00;3.733359626329668113e-01;-2.946142909173418811e+00;-4.182672850236573980e-01;2.972692836992823384e+00;3.641011519742139324e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.585960613290860799e+00;5.610661754667490619e+00;3.361877823523064523e-01;-3.023636522206802901e+00;-2.316201668954890325e-01;3.257414622544310134e+00;4.383788369427999321e+00;1.000000000000000000e+00;1.000000000000000000e+00
4.913113274873404990e+00;5.284746073155012880e+00;3.077653875763622926e-01;-3.076303243963093514e+00;-5.720310319007721606e-02;3.671387488254465037e+00;5.000000000000003553e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.410799736541820337e+00;4.788059373178432665e+00;2.762354621974203450e-01;-3.073602885662853446e+00;1.237984149848285823e-02;4.296038955316348940e+00;5.000000000000002665e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.059412448844412324e+00;4.141057464129442423e+00;2.305519832637055733e-01;-3.071658004175171985e+00;-1.111261979083020754e-02;4.994204423992024466e+00;4.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.714261302312641178e+00;3.487517994242820052e+00;1.891613781827609364e-01;-3.087414719095431526e+00;-2.453410455280270047e-02;5.611645602076435146e+00;4.999999999999994671e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.371104847687722561e+00;2.831404675001605753e+00;1.581976023280172450e-01;-3.099187437851318450e+00;-7.379729914691360651e-03;6.169197826059284573e+00;4.999999999999998224e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.044746409538740650e+00;2.158364224962499911e+00;1.297457752471787573e-01;-3.097111745956750095e+00;1.041753715459763606e-02;6.692937877760765986e+00;4.999999999999995559e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.721470980866710576e+00;1.482461279097576634e+00;9.640881062614652108e-02;-3.089751117460311391e+00;-1.404069136778962916e-03;7.180714668390917765e+00;-4.395655169560424902e+00;1.000000000000000000e+00;1.000000000000000000e+00
9.374393551859531826e+00;8.303016950311847832e-01;6.485313566543467190e-02;-3.099714278705834936e+00;-2.838163340385072009e-02;6.769240592550240798e+00;-7.999999999999998224e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.000369245135457597e+01;2.012888485536907246e-01;4.588094886596942590e-02;-3.124159358310633738e+00;-1.789266894213329198e-02;5.979451129318579028e+00;-8.000000000000014211e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.057376405530002117e+01;-3.686752317224699094e-01;3.480932658725439249e-02;-3.110911174746159524e+00;6.624466169231658930e-02;5.160686983801875627e+00;-7.999999999999984013e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.104364615678633044e+01;-8.378757014978877038e-01;9.508961773324598604e-03;-3.058303789657101035e+00;1.445971969814844882e-01;4.372022017442405151e+00;-7.735508236962581385e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.138878017803389753e+01;-1.180816188317180160e+00;-2.934094328013938172e-02;-2.994550382436262481e+00;2.496121405297914153e-01;3.711469034300030501e+00;-6.516521231148832527e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.165400468174874504e+01;-1.441317753861494744e+00;-7.917036952355399615e-02;-2.901891367108921482e+00;4.364511389319846724e-01;3.212214216644117215e+00;-5.459188634719354560e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.186536189949158526e+01;-1.643664195641729719e+00;-1.402260080090590721e-01;-2.789377016432264877e+00;6.041115408666315467e-01;2.830307815711099906e+00;-4.597428620809596467e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.204095714949657214e+01;-1.804706240064712031e+00;-2.102199488352459733e-01;-2.669767022083965102e+00;7.503814234622707691e-01;2.529045091644879673e+00;-3.590755396669208732e+00;1.000000000000000000e+00;1.000000000000000000e+00
