# 2026-05-19 18:43:42
# 18450f47ed34440443faa5af0ca7d5c1
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;1.002646931692653531e+01;4.565490507688723554e+00;-2.077474568303322222e+00;8.297897071360154087e-01;2.502605007047717933e+00;1.498871476962071680e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.195358780325311843e-01;9.973659237069504968e+00;4.458252820271928485e+00;-1.981366684255008170e+00;7.471635924321281541e-01;2.573202218523344964e+00;1.596779572763726840e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.441997021775580978e-01;9.929005065559302068e+00;4.341860921854557631e+00;-1.895498585500599242e+00;6.230584071524798428e-01;2.649432194476439406e+00;1.655549472285497759e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.744797470581160415e-01;9.892139335891858565e+00;4.216905697593356095e+00;-1.822810124678795773e+00;4.889589539672057894e-01;2.729626544461882798e+00;1.552506565144677442e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.101314280117045241e-01;9.862289143876616038e+00;4.084579038970887588e+00;-1.765609179657876782e+00;3.542174807965437489e-01;2.805719394867853378e+00;1.413939357153014109e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.519105177084072444e-01;9.837921843019390877e+00;3.944909625983794577e+00;-1.724194004882270814e+00;2.326665158838336356e-01;2.876281521795915008e+00;1.181008525609986259e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.987865284897206486e-01;9.817550825889254540e+00;3.799453157567583617e+00;-1.698643141922730582e+00;1.118405392954033434e-01;2.935969862669788100e+00;7.373634272096616371e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.516165442259342244e-01;9.798893524843071745e+00;3.647766247032747433e+00;-1.690925917083041519e+00;-1.354213651975403471e-02;2.974105170109620833e+00;2.527433263351724912e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.108640469377042193e+00;9.779397300120917791e+00;3.491957356749028296e+00;-1.702999550388053951e+00;-1.330290957248037031e-01;2.987419465221877513e+00;-2.173683322431997633e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.268003067096321823e+00;9.756287544437698855e+00;3.334279277282988119e+00;-1.731420987441087966e+00;-2.117116817109886140e-01;2.975801454568197890e+00;-3.972340199123595705e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.427198526924905231e+00;9.727904384158767570e+00;3.177634485979176748e+00;-1.770467103143628984e+00;-2.789833447602504957e-01;2.954474334309098893e+00;-2.670232395146390769e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.583370263565093028e+00;9.693328814151554340e+00;3.025338257254075014e+00;-1.819387078959180615e+00;-3.453613712954998749e-01;2.953062528204158266e+00;1.384186198276840252e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.734080146683694590e+00;9.652223744642007830e+00;2.880342249963398604e+00;-1.875722729687737900e+00;-3.883192383788053870e-01;2.960118309040176143e+00;1.384220137761784930e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.876337099804472830e+00;9.605704951802133351e+00;2.745906233122939799e+00;-1.932612820800750919e+00;-4.090844300268164924e-01;2.966763116826848012e+00;2.166224760500571472e-02;1.000000000000000000e+00;1.000000000000000000e+00
