# 2026-04-18 23:47:11
# 82aff912da886c68fe4ae8c234907338
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;7.560735051609037249e+00;3.958543979813362590e+00;-2.670599760412185386e+00;1.436813966197919346e+00;1.909473613032745432e+00;4.401769515892001161e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.244594544793596186e-01;7.455335946727240426e+00;3.892353463125427737e+00;-2.494020208003939310e+00;1.350318913340206484e+00;1.937951971904021464e+00;7.138295999580419604e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.524075918705920851e-01;7.360109704351768478e+00;3.806897693133381111e+00;-2.328682852456501529e+00;1.244576075527089598e+00;1.984521146489854226e+00;1.155344794050258139e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.850796342101903136e-01;7.276989921044023646e+00;3.703490863371349917e+00;-2.169471128111784441e+00;1.116777391141585474e+00;2.060312618932269135e+00;1.808114823730038179e+00;1.000000000000000000e+00;1.000000000000000000e+00
5.263528660348217869e-01;7.206311088147212551e+00;3.581169039437430701e+00;-2.024823213388297294e+00;9.193478923891739152e-01;2.180771546276289552e+00;2.497910015818844531e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.789415095322388627e-01;7.148473720895941241e+00;3.439966585231339025e+00;-1.899165537425984818e+00;7.282266624978631642e-01;2.349057244690536894e+00;2.901581410136938821e+00;1.000000000000000000e+00;1.000000000000000000e+00
8.542413081829970389e-01;7.101834155270029925e+00;3.270985017226947900e+00;-1.786142276021985165e+00;5.410891293320782003e-01;2.556435646122286798e+00;3.328184793619489934e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.067854735747368222e+00;7.066951873711573739e+00;3.060238907253180152e+00;-1.691490246458779323e+00;3.130943973978401185e-01;2.820860353762665529e+00;3.867148632533458308e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.342148583625111469e+00;7.042946003132789734e+00;2.786997561257861911e+00;-1.636136059164470247e+00;9.938715704988042299e-02;3.174700504440622240e+00;3.149044468194976965e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.689679630903914376e+00;7.023241509498352464e+00;2.440025571389353942e+00;-1.628658278070808541e+00;-7.266869012575614961e-02;3.502499783984887483e+00;6.259635700771872813e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.092138986407053647e+00;6.989482605827531003e+00;2.038984589375113288e+00;-1.694495871325322423e+00;-2.191963377105672905e-01;3.573703195115341735e+00;-1.667397020987542611e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.495070051345639417e+00;6.920409234867642034e+00;1.642018202237889302e+00;-1.783768877053143020e+00;-1.701212323510488122e-01;3.380482570890394278e+00;-2.237569888870927670e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.811908168946912756e+00;6.847094222589001689e+00;1.333779168791926928e+00;-1.819872376996423569e+00;-1.027764011487892343e-01;3.163821668316882274e+00;-2.642328777332030310e+00;1.000000000000000000e+00;1.000000000000000000e+00
